ID_Word	ID_Synset	Synset
38344	None	None	# (
38346	None	None	# )
37963	None	None	# ,
38582	None	None	# ,
38588	None	None	# ,
38604	None	None	# ,
38608	None	None	# ,
38630	None	None	# ,
38642	None	None	# ,
38646	None	None	# ,
38651	None	None	# ,
38658	None	None	# ,
38672	None	None	# ,
38675	None	None	# ,
38691	None	None	# ,
38696	None	None	# ,
38727	None	None	# ,
38735	None	None	# ,
38772	None	None	# ,
38778	None	None	# ,
38784	None	None	# ,
38801	None	None	# ,
38805	None	None	# ,
38810	None	None	# ,
38818	None	None	# ,
38828	None	None	# ,
39016	None	None	# ,
39020	None	None	# ,
39112	None	None	# ,
39121	None	None	# ,
39124	None	None	# ,
39143	None	None	# ,
39174	None	None	# ,
39335	None	None	# ,
39344	None	None	# ,
39397	None	None	# ,
39413	None	None	# ,
39563	None	None	# ,
39565	None	None	# ,
39574	None	None	# ,
39599	None	None	# ,
39660	None	None	# ,
39669	None	None	# ,
39674	None	None	# ,
39521	None	None	# `
37630	None	None	# a
37667	None	None	# a
37684	None	None	# a
38123	None	None	# a
38223	None	None	# a
38226	None	None	# a
38549	None	None	# a
38573	None	None	# a
38591	None	None	# a
38648	None	None	# a
38660	None	None	# a
39218	None	None	# a
39703	None	None	# a
39727	None	None	# a
39739	None	None	# a
39803	None	None	# a
39924	None	None	# a
37676	35359	open.v.01	# abrir
38572	35852	entrance.n.01	# acceso
39620	36386	entrance.n.01	# acceso
39638	36398	entrance.n.01	# acceso
39702	36430	entrance.n.01	# acceso
39802	36474	entrance.n.01	# acceso
39896	36517	entrance.n.01	# acceso
38288	35699	accompaniment.n.01	# acompañamiento
38047	35563	companion.n.01	# acompañante
39762	36454	sleep_together.v.01	# 
39852	36498	action.n.02	# actividad
39070	36106	adjust.v.03	# adaptar
39467	36312	befit.v.01	# adecuar
37858	None	None	# 
38230	35665	adult.n.01	# adulto
38120	35603	adult.n.01	# adulto
38635	35884	adult.n.01	# adulto
38750	35934	adult.n.01	# adulto
38761	35941	adult.n.01	# adulto
39904	36521	adult.n.01	# adulto
38174	35636	agility.n.01	# agilidad
38666	35898	agility.n.01	# agilidad
38726	35924	agility.n.01	# agilidad
39300	36224	agility.n.01	# agilidad
39321	36236	accelerate.v.01	# agilizar
39855	None	None	# agroturismo
37680	35361	water.n.01	# agua
37702	35370	water.n.01	# agua
37722	35381	water.n.01	# agua
38533	35828	water.n.01	# agua
38595	35862	water.n.01	# agua
38896	36014	water.n.01	# agua
39131	36137	water.n.01	# agua
39352	36252	water.n.01	# agua
39411	36286	water.n.01	# agua
39554	36357	water.n.01	# agua
38456	35791	immediately.r.01	# ahora
38858	None	None	# a+el
38866	None	None	# a+el
39054	None	None	# a+el
39086	None	None	# a+el
39095	None	None	# a+el
39103	None	None	# a+el
39216	None	None	# a+el
39838	None	None	# a+el
38574	35853	wing.n.01	# ala
39886	None	None	# algo
39176	None	None	# 
39382	None	None	# 
39735	None	None	# 
37833	35445	nutriment.n.01	# alimento
38654	35894	nutriment.n.01	# alimento
39255	36200	nutriment.n.01	# alimento
39928	36533	nutriment.n.01	# alimento
37875	None	None	# 
38921	None	None	# 
39832	36486	breakfast.n.01	# almuerzo
38471	35799	accommodation.n.04	# alojamiento
39621	36387	accommodation.n.04	# alojamiento
39725	36441	accommodation.n.04	# alojamiento
37824	35440	tall.a.01	# alta
37901	35481	tall.a.01	# alta
