ID_Word	ID_Synset	Synset
43704	None	None	# "
43753	None	None	# "
43909	None	None	# ,
43733	38275	one.s.01	# 
43748	38282	fifteen.n.01	# 
43746	38281	two.n.01	# 
43660	38241	four.s.01	# 
43747	None	None	# :
43722	None	None	# ;
43494	None	None	# a
43550	None	None	# a
43575	None	None	# a
43583	None	None	# a
43588	None	None	# a
43731	None	None	# a
43744	None	None	# a
43785	None	None	# a
43811	None	None	# a
43794	38305	fix.v.12	# acondicionar
43982	38390	match.v.01	# acordar
43587	None	None	# acorde
43828	38319	action.n.02	# actividad
43810	38310	agreement.n.01	# acordar
43664	38244	auxiliary.s.01	# adicional
43903	38352	auxiliary.s.01	# adicional
43560	None	None	# 
43698	38261	director.n.01	# administrador
43508	38178	water.n.01	# agua
43759	38287	water.n.01	# agua
43774	38293	water.n.01	# agua
44137	38466	water.n.01	# agua
43703	None	None	# 
43793	38304	wind.n.01	# aire
43691	None	None	# a+el
43708	None	None	# a+el
43618	None	None	# 
43651	None	None	# 
43848	None	None	# 
44061	None	None	# 
44070	None	None	# 
44080	38441	nutriment.n.01	# alimento
43734	38276	morning.n.01	# 
43815	38313	environmental.a.01	# ambiental
43868	38337	environment.n.02	# ambientar
43971	38386	environment.n.02	# ambientar
44114	None	None	# 
43967	38385	friendly.a.01	# amigable
43573	None	None	# 
43699	None	None	# 
43849	38327	support.n.07	# apoyar
43679	None	None	# 
43784	None	None	# 
43876	38341	toilet.n.02	# asear
43927	38362	take_in.v.01	# asilar
43581	38209	watchfulness.n.02	# 
43616	38224	watchfulness.n.02	# 
43673	38250	watchfulness.n.02	# 
43681	38252	watchfulness.n.02	# 
43882	38343	watchfulness.n.02	# 
44042	38420	watchfulness.n.02	# 
43669	38247	care.n.01	# atención
43635	38234	ad.n.01	# aviso
43585	38212	short.a.03	# bajar
44006	38403	barroom.n.01	# bar
43834	38321	cheap.a.01	# barato
43517	38183	bathtub.n.01	# bañar
43663	38243	bathtub.n.01	# bañar
44123	38461	bathtub.n.01	# bañar
43514	38181	bathtub.n.01	# baño
44030	38415	bathtub.n.01	# baño
43598	38216	finely.r.03	# bien
44065	38432	finely.r.03	# bien
44095	38448	finely.r.03	# bien
