ID_Word	ID_Synset	Synset
40911	None	None	# "
40952	None	None	# "
41145	None	None	# ,
41690	None	None	# ,
42154	None	None	# ,
42558	None	None	# ,
42566	None	None	# ,
42583	None	None	# ,
42741	None	None	# ,
42903	None	None	# ,
42081	37497	one.n.01	# 
42673	37780	one.s.01	# 
42678	37783	one.n.01	# 
42950	None	None	# 
41754	None	None	# 
41756	None	None	# 
43149	None	None	# 
40924	None	None	# 
41433	None	None	# 
43174	None	None	# 
41302	37153	sixteen.s.01	# 
41977	None	None	# 
41451	37227	two.s.01	# 
41853	None	None	# 
41873	37409	two.s.01	# 
42042	37479	two.n.01	# 
43320	None	None	# 
41237	None	None	# 
41894	None	None	# 
42697	None	None	# 
42180	None	None	# 
42410	None	None	# 
42728	None	None	# 
43376	None	None	# 
42731	None	None	# 
41323	None	None	# 
41677	37327	four.s.01	# 
42719	None	None	# 
41240	37123	six.n.01	# 
42571	None	None	# 
41332	None	None	# 
40932	None	None	# ;
40941	None	None	# ;
40982	None	None	# a
41011	None	None	# a
41314	None	None	# a
41431	None	None	# a
41447	None	None	# a
41521	None	None	# a
41614	None	None	# a
41732	None	None	# a
41736	None	None	# a
41975	None	None	# a
42067	None	None	# a
42265	None	None	# a
42473	None	None	# a
42576	None	None	# a
42628	None	None	# a
42979	None	None	# a
43120	None	None	# a
43143	None	None	# a
43147	None	None	# a
43152	None	None	# a
43170	None	None	# a
43200	None	None	# a
43312	None	None	# a
43476	None	None	# a
41678	None	None	# 
40927	36975	bee.n.01	# abeja
41464	37233	orifice.n.01	# abertura
42316	37617	open.v.01	# abrir
41955	37443	open.v.01	# abrir
41555	37273	open.v.01	# abrir
43417	38138	succeed.v.01	# acceder
43142	38004	succeed.v.01	# acceder
41126	37073	approachable.a.02	# accesible
43116	37994	entrance.n.01	# acceso
43316	38083	inflection.n.01	# accidentar
43328	38091	inflection.n.01	# accidentar
41620	37300	accept.v.02	# aceptar
40915	None	None	# 
42173	None	None	# 
43287	38070	accessible.s.04	# acogedor
42403	37662	welcome.n.02	# acoger
43330	38092	companion.n.01	# acompañante
41613	37297	agreement.n.01	# acordar
42441	37681	agreement.n.01	# acordar
42751	37819	befit.v.01	# adecuar
40875	None	None	# adema
41182	None	None	# adema
41816	None	None	# adema
42095	None	None	# adema
43259	None	None	# adema
42416	37666	auxiliary.s.01	# adicional
42435	37677	auxiliary.s.01	# adicional
42750	37818	auxiliary.s.01	# adicional
42535	37721	director.n.01	# administrador
41854	37401	adult.n.01	# adulto
43027	37951	affect.v.01	# afectado
41580	37282	state.v.01	# afirmar
41804	37379	consume.v.05	# agotar
41967	37449	water.n.01	# agua
41973	37451	water.n.01	# agua
42279	37595	water.n.01	# agua
43427	38143	water.n.01	# agua
43445	38153	water.n.01	# agua
41329	None	None	# 
42453	37687	immediately.r.01	# ahora
40936	36980	befit.v.01	# ajustar
41119	None	None	# a+el
41127	None	None	# a+el
41198	None	None	# a+el
41498	None	None	# a+el
41652	None	None	# a+el
41858	None	None	# a+el
41860	None	None	# a+el
42044	None	None	# a+el
42260	None	None	# a+el
42631	None	None	# a+el
42808	None	None	# a+el
43117	None	None	# a+el
43236	None	None	# a+el
43418	None	None	# a+el
43422	None	None	# a+el
43046	None	None	# 
41015	None	None	# algo
42555	None	None	# algo
41596	None	None	# 
42836	None	None	# alguno
41423	None	None	# alguno
42976	None	None	# alguno
41251	None	None	# alguno
41564	None	None	# 
42193	None	None	# 
41181	37097	nutritional.a.01	# alimenticio
41724	37347	nutriment.n.01	# alimento
42522	37716	nutriment.n.01	# alimento
42688	37790	nutriment.n.01	# alimento
41413	None	None	# 
43460	None	None	# 
42320	None	None	# 
41203	37104	pillow.n.01	# almohada
42565	37736	lunch.v.01	# almorzar
42261	37589	breakfast.n.01	# almorzar
