ID_Word	ID_Synset	Synset
49864	None	None	# 
49836	None	None	# %
52136	None	None	# %
48580	None	None	# ,
48587	None	None	# ,
48596	None	None	# ,
48644	None	None	# ,
48730	None	None	# ,
48849	None	None	# ,
48883	None	None	# ,
48935	None	None	# ,
48948	None	None	# ,
49042	None	None	# ,
49189	None	None	# ,
49281	None	None	# ,
49551	None	None	# ,
50067	None	None	# ,
50127	None	None	# ,
50291	None	None	# ,
50558	None	None	# ,
50592	None	None	# ,
50602	None	None	# ,
50705	None	None	# ,
50753	None	None	# ,
50944	None	None	# ,
51060	None	None	# ,
51869	None	None	# ,
52095	None	None	# ,
52124	None	None	# ,
52246	None	None	# ,
52404	None	None	# ,
52872	None	None	# ,
53104	None	None	# ,
53354	None	None	# ,
54351	None	None	# ,
54365	None	None	# ,
48612	None	None	# .
48682	None	None	# .
53064	None	None	# .
49000	None	None	# 
49789	41263	one.s.01	# 
50332	41530	one.s.01	# 
51291	41981	one.s.01	# 
51680	42177	one.s.01	# 
54347	43446	one.s.01	# 
52575	42608	ten.s.01	# 
52135	42407	hundred.n.01	# 
53113	None	None	# 
52660	42650	eleven.s.01	# 
54039	43293	eleven.n.01	# 
52675	None	None	# 
49220	None	None	# 
49194	None	None	# 
48572	40690	seventeen.n.01	# 
51590	42124	nineteen.s.01	# 
48761	40781	two.n.01	# 
49080	40929	two.n.01	# 
49472	41108	two.s.01	# 
50187	41455	two.s.01	# 
51715	42197	two.s.01	# 
52090	42384	two.s.01	# 
52183	42428	two.s.01	# 
54396	None	None	# 
48576	None	None	# 
52348	None	None	# 
52740	None	None	# 
53267	None	None	# 
49245	None	None	# 
53733	None	None	# 
53298	None	None	# 
52412	None	None	# 
52711	None	None	# 
52399	None	None	# 
54017	None	None	# 
48758	40779	three.s.01	# 
49674	41206	three.s.01	# 
49852	41289	three.n.01	# 
50422	41576	three.s.01	# 
51608	42135	three.s.01	# 
52368	42510	three.s.01	# 
54162	43354	three.s.01	# 
54041	43294	thirty.n.01	# 
50506	None	None	# 
53788	None	None	# 
49829	None	None	# 
52428	None	None	# 
52829	None	None	# 
53803	None	None	# 
54392	43463	four.n.01	# 
53660	43117	forty.s.01	# 
53891	43225	forty.s.01	# 
53257	None	None	# 
