look.v.02# parece
# colmo
topographic_point.n.01# sitio
advertise.v.02# promueven
daily.s.01# diario
# tencion
personal.a.01# personal
# restaurnte
repair.v.01# atiendan
manner.n.01# manera
unpleasant.a.01# grosera
arrogant.s.01# altanera
equal.a.01# igual
manner.n.01# manera
lord.n.03# señora
repair.v.01# atiende
ticket.n.01# entrada
repair.v.01# atiende
manner.n.01# manera
# descortes
# si
traveler.n.01# turista
arrive.v.01# viniera
pass.n.03# pases
# cortesia
# lismona
# deberian
orient.v.02# orientar
authorization.n.04# capacitaciones
watchfulness.n.02# atencion
service.n.01# servicio
customer.n.01# cliente
hire.v.01# contratar
force.n.04# personal
# idoneo
# desatencion
miss.v.06# falta
respect.n.03# respeto
# ridiculizacion
# demas
arrogant.s.01# altanera
region.n.01# parte
hardworking.s.01# trabajadora
# lubieth
argue.v.01# argumentando
supervisory.a.01# supervisora
# lockers
displace.v.03# puedo
put.v.01# poner
complaint.n.03# queja
want.v.02# quiera
lord.n.03# señora
so.r.01# tan
disrespectful.a.01# irrespetuosa
arrogant.s.01# altanera
necessitate.v.01# solicito
be.v.01# ser
# mas
kind.a.01# amables
civilized.s.02# gentiles
watchfulness.n.02# atencion
customer.n.01# cliente
carry_through.v.01# cumples
card.n.01# cartas
commissariat.n.01# alimentos
prove.v.02# establecer
# uun
schedule.n.02# horario
consume.v.02# comidas
district.n.01# zona
visible.a.01# visible
joke.n.01# gracias
hint.v.01# sugiere
travel.v.01# va
increase.v.02# subir
# vehiculos
inform.v.01# informar
check.v.01# revisar
# todas
case.n.18# maletas
down.r.01# abajo
lord.n.03# señor
# recibio
region.n.01# parte
above.r.02# arriba
put.v.01# dejo
descend.v.01# bajar
case.n.18# maletas
# arro
either.r.01# tampoco
# podia
check.v.01# revisar
affability.n.01# agrado
# muchisimo
topographic_point.n.01# sitio
joke.n.01# gracias
service.n.01# servicio
# situacion
express.v.01# presento
succeeding.a.01# siguiente
# estabamos
# sentdos
dining_table.n.01# mesas
car.n.01# auto
service.n.01# servicio
manner.n.01# manera
unpleasant.a.01# grosera
# pidio
# retirarnos
want.v.02# necesitaban
room.n.02# espacio
breakfast.n.01# desayunos
# considerando
owe.v.01# debe
exist.v.01# existir
best.a.01# mejor
room.n.02# espacio
best.a.01# mejor
watchfulness.n.02# atencion
arrive.v.01# vinimos
# cometiva
# tolima
person.n.01# personas
# excelnte
service.n.01# servicio
customer.n.01# cliente
region.n.01# parte
personal.a.01# personal
want.v.02# quiero
express.v.01# manifestar
# felicitacion
# especialpor
watchfulness.n.02# atencion
service.n.01# servicio
get.v.25# recibido
# daniela
# fernanda
# marulanda
# atendio
manner.n.01# forma
extra.s.02# especial
give.v.18# comprometida
occupation.n.01# empresa
evaluate.v.02# pensando
always.r.01# siempre
user.n.01# usuario
praise.n.01# felicitaciones
pie.n.01# empanadas
variable.a.01# variables
well.r.06# bien
different.a.01# diferente
year.n.01# años
back.r.01# atrás
quality.n.01# calidad
meal.n.01# comida
# acorde
quality.n.01# calidad
price.n.02# precio
# comparacion
present.n.01# actualidad
# nustro
topographic_point.n.01# punto
view.n.03# vista
# extremadmente
expensive.a.01# costosa
merchandise.n.01# producto
bill.n.02# recibo
watchfulness.n.02# atencion
testify.v.02# prestada
year.n.01# años
back.r.01# atrás
best.a.01# mejor
form.v.01# organizada
state.v.01# cuenta
then.r.01# entonces
immediately.r.01# ahora
group.n.01# grupo
person.n.01# personas
want.v.02# quiere
state.v.01# decir
# tencion
find.v.01# halla
bad.a.01# mala
force.n.04# personal
kind.a.01# amable
once.r.03# anteriormente
suggestion.n.02# sugerencia
comply.v.01# sigan
descend.v.01# bajando
# estandar
service.n.01# servicios
state.v.01# cuenta
detail.n.01# detalle
# alimentacion
component.n.01# factor
considerable.a.01# importante
person.n.01# personas
visitor.n.01# visita
state.v.01# cuenta
# ustedes
put.v.01# dejan
record.v.01# entra
# ningun
kind.n.01# tipo
# alimanto
joke.n.01# gracias
watchfulness.n.02# atencion
seal.v.02# selle
make.v.03# realizamos
purchase.n.01# compra
trout.n.02# trucha
mojarra.n.01# mojarra
tapeworm.n.01# tenia
# duracion
think_of.v.03# estimada
moment.n.01# minutos
give_birth.v.01# entrega
moment.n.01# minutos
# despues
# habian
make.v.03# hecho
delivery.n.01# entrega
miss.v.06# falta
respect.n.03# respeto
then.r.01# luego
buy.v.01# compramos
pie.n.01# empanadas
# cuales
vinegar.n.01# vinagres
make.v.03# hacer
ad.n.01# reclamo
state.v.01# dicen
normal.a.01# normal
smell.v.02# huelan
# asi
# si
# entoxicamos
travel.v.01# va
react.v.01# responder
note.v.01# notamos
# unicos
groan.v.01# quejaron
bread.v.01# empanadas
then.r.01# luego
summon.v.02# llamamos
official.n.01# funcionario
shirt.n.01# camisa
cruddy.s.01# verde
state.v.01# contamos
# situacion
find.v.01# dio
# razon
then.r.01# luego
# mas
# trde
make.v.03# realizaron
# camnio
bread.v.01# empanadas
joke.n.01# gracias
bread.v.01# empanadas
# salio
strange.a.01# extraño
animal.n.01# animal
unpleasant.a.01# desagradable
# usurio
joke.n.01# gracias
watchfulness.n.02# atencion
different.a.01# diferente
class-conscious.s.01# clasista
hotel.n.01# hotel
lord.n.03# señor
# fredy
summon.v.02# llame
# dia
july.n.01# julio
# despuesde
look.v.01# ver
television.n.01# videos
# vestier
inform.v.01# informo
# encontro
# relij
bag.n.01# bolso
familiar.a.01# familiar
# att
# hernan
# alfonso
# alzate
head.n.04# jefe
# recreacion
inside.r.02# dentro
meal.n.01# comida
find.v.01# encontrado
cockroach.n.01# cucaracha
# docuementos
# tales
security.n.04# certificados
express.v.01# presentaron
moment.n.01# momento
complaint.n.03# queja
put.v.01# dejado
express.v.01# evidencia
# fotografias
happen.v.01# ocurrido
meal.n.01# comida
restaurant.n.01# restaurante
abundantly.r.01# bastante
insufficient.a.01# deficiente
salad.n.01# ensalada
tapeworm.n.01# tenia
taste.n.01# sabor
bactericidal.s.01# desinfectante
chicken.n.01# pollo
tapeworm.n.01# tenia
taste.n.01# sabor
formalin.n.01# formol
sauce.n.01# salsa
ugly.a.01# fea
suggestion.n.02# sugerencia
change.v.01# cambiar
supplier.n.01# proveedor
chicken.n.01# pollo
# utencilios
# desinfeccion
change.v.01# cambiar
chef.n.01# chef
remainder.n.01# resto
# prque
arresting.s.01# sensacional
joke.n.01# gracias
# deberian
gain.v.08# cobrar
rate.n.02# tarifa
different.a.01# diferente
person.n.01# personas
use.v.01# utilizan
facility.n.01# instalaciones
swimming_pool.n.01# piscinas
effusion.n.02# chorros
# si
car.n.01# carro
right.a.01# derecho
record.v.01# entrar
# utilizarian
toilet.n.02# baños
# so
necessary.a.01# necesarios
bill.n.02# cuenta
person.n.01# persona
# tambien
travel.v.01# va
consume.v.02# consumir
# bebeidas
commissariat.n.01# alimentos
displace.v.03# pueden
use.v.01# utilizar
# diferentes
# brasaletes
# tintos
# hacian
# conchudos
ill.r.01# mal
# echos
light.a.02# clara
order.v.01# encargada
# porteria
testify.v.02# presta
service.n.01# servicio
car.n.01# carro
# tranporta
person.n.01# personas
ability.n.02# capacidades
different.a.01# diferentes
# dirigio
# terminos
# desobligantes
behavior.n.01# comportamiento
owe.v.01# debe
give_birth.v.01# tener
official.n.01# funcionaria
# balneario
excessively.r.01# demasiado
unpleasant.a.01# grosera
watchfulness.n.02# atencion
# señoras
case.n.18# caja
restaurant.n.01# restaurante
# despota
