ID_Word	ID_Synset	Synset
39948	None	None	# ,
40006	None	None	# ,
40054	None	None	# ,
40088	None	None	# ,
40153	None	None	# ,
40206	None	None	# ,
40372	None	None	# ,
40387	None	None	# ,
40431	None	None	# ,
40506	None	None	# ,
40536	None	None	# ,
40550	None	None	# ,
40631	None	None	# ,
40708	None	None	# ,
40725	None	None	# ,
40791	None	None	# 
40799	None	None	# 
40496	36789	twelve.n.01	# 
40788	36917	seventeen.s.01	# 
40367	36736	twenty.s.01	# 
40350	None	None	# 
40219	None	None	# 
40170	None	None	# 
40277	36694	forty.s.01	# 
40373	None	None	# 
40226	36665	five.n.01	# 
40261	36682	five.n.01	# 
40390	None	None	# 
40797	None	None	# 
40418	None	None	# ?
39946	None	None	# a
40033	None	None	# a
40076	None	None	# a
40240	None	None	# a
40348	None	None	# a
40416	None	None	# a
40434	None	None	# a
40485	None	None	# a
40570	None	None	# a
40577	None	None	# a
40621	None	None	# a
40640	None	None	# a
40680	None	None	# a
40721	None	None	# a
40789	None	None	# a
40847	None	None	# a
40087	36604	down.r.01	# abajar
40235	None	None	# acorde
40244	36673	present.n.01	# actualidad
40114	36615	please.v.01	# agradar
40273	36691	immediately.r.01	# ahora
39993	None	None	# a+el
39995	None	None	# a+el
40174	None	None	# a+el
40397	None	None	# a+el
40545	None	None	# a+el
40522	None	None	# 
40467	None	None	# algo
40338	None	None	# 
40316	None	None	# 
40060	36590	nutriment.n.01	# alimento
40644	36856	nutriment.n.01	# alimento
39961	36548	arrogant.s.01	# altanero
40010	36568	arrogant.s.01	# altanero
40041	36581	arrogant.s.01	# altanero
40523	None	None	# 
40720	36888	kindness.n.01	# amabilidad
40292	36705	kind.a.01	# amable
40712	36883	kind.a.01	# amable
40046	36584	kind.a.01	# amable
40472	36778	animal.n.01	# animal
40295	36707	once.r.03	# 
40017	36571	argue.v.01	# argumentar
40716	None	None	# 
40100	36608	above.r.02	# arriba
40107	None	None	# 
40408	None	None	# 
39992	36561	watchfulness.n.02	# 
40051	36586	watchfulness.n.02	# 
40162	36637	watchfulness.n.02	# 
40187	36647	watchfulness.n.02	# 
40259	36680	watchfulness.n.02	# 
40342	36728	watchfulness.n.02	# 
40480	36782	watchfulness.n.02	# 
40698	36876	watchfulness.n.02	# 
40778	36912	watchfulness.n.02	# 
40196	None	None	# 
39955	36545	serve.v.10	# atender
39968	36552	serve.v.10	# atender
39972	36554	serve.v.10	# atender
40228	36667	back.r.01	# atrás
40263	36684	back.r.01	# atrás
40520	None	None	# 
40746	None	None	# 
40136	36624	car.n.01	# auto
40227	36666	year.n.01	# año
40262	36683	year.n.01	# año
40301	36710	descend.v.01	# bajar
40103	36611	descend.v.01	# bajar
40694	36873	watering_place.n.01	# balneario
40564	36814	abundantly.r.01	# bastante
40627	36848	bathtub.n.01	# baño
40642	None	None	# 
40220	36662	finely.r.03	# bien
40516	36795	bag.n.01	# bolso
40648	None	None	# 
40757	None	None	# 
40859	36948	offer.v.02	# brindar
40771	36908	good.a.01	# bueno
40715	36886	good.a.01	# bueno
40703	36878	box.n.01	# caja
