ID_Word	ID_Synset	Synset
45986	None	None	# 
45990	None	None	# 
45657	None	None	# (
45659	None	None	# )
44174	None	None	# ,
44204	None	None	# ,
44252	None	None	# ,
44280	None	None	# ,
44303	None	None	# ,
44368	None	None	# ,
44385	None	None	# ,
44411	None	None	# ,
44452	None	None	# ,
44459	None	None	# ,
44466	None	None	# ,
44572	None	None	# ,
44597	None	None	# ,
44660	None	None	# ,
44700	None	None	# ,
44726	None	None	# ,
44757	None	None	# ,
44760	None	None	# ,
44777	None	None	# ,
44790	None	None	# ,
44830	None	None	# ,
44839	None	None	# ,
44844	None	None	# ,
44853	None	None	# ,
44897	None	None	# ,
44943	None	None	# ,
45064	None	None	# ,
45082	None	None	# ,
45133	None	None	# ,
45200	None	None	# ,
45206	None	None	# ,
45423	None	None	# ,
45515	None	None	# ,
45559	None	None	# ,
45568	None	None	# ,
45617	None	None	# ,
45634	None	None	# ,
45669	None	None	# ,
45693	None	None	# ,
45704	None	None	# ,
45712	None	None	# ,
45810	None	None	# ,
45867	None	None	# ,
45876	None	None	# ,
45883	None	None	# ,
45938	None	None	# ,
45940	None	None	# ,
45974	None	None	# ,
46045	None	None	# ,
46074	None	None	# ,
46226	None	None	# ,
46241	None	None	# ,
46296	None	None	# ,
46330	None	None	# ,
46348	None	None	# ,
46515	None	None	# ,
46557	None	None	# ,
46569	None	None	# ,
46601	None	None	# ,
46644	None	None	# ,
46660	None	None	# ,
46680	None	None	# ,
46735	None	None	# ,
46933	None	None	# ,
47053	None	None	# ,
47095	None	None	# ,
47196	None	None	# ,
47242	None	None	# ,
47499	None	None	# ,
47594	None	None	# ,
47632	None	None	# ,
47650	None	None	# ,
47697	None	None	# ,
47988	None	None	# ,
44863	None	None	# .
48508	40660	ten.s.01	# 
48025	40412	two.s.01	# 
48316	40557	two.s.01	# 
47613	40188	twenty.s.01	# 
48495	40651	five.n.01	# 
44217	None	None	# 
44215	None	None	# a
44301	None	None	# a
44513	None	None	# a
44530	None	None	# a
44574	None	None	# a
44622	None	None	# a
44728	None	None	# a
44741	None	None	# a
44824	None	None	# a
44914	None	None	# a
45372	None	None	# a
45454	None	None	# a
45600	None	None	# a
45619	None	None	# a
45985	None	None	# a
46050	None	None	# a
46152	None	None	# a
46322	None	None	# a
46341	None	None	# a
46355	None	None	# a
46519	None	None	# a
46677	None	None	# a
46704	None	None	# a
46784	None	None	# a
46859	None	None	# a
46902	None	None	# a
46911	None	None	# a
47029	None	None	# a
47033	None	None	# a
47658	None	None	# a
47694	None	None	# a
47765	None	None	# a
47854	None	None	# a
48008	None	None	# a
48027	None	None	# a
48115	None	None	# a
48135	None	None	# a
48249	None	None	# a
48334	None	None	# a
48460	None	None	# a
45431	39124	down.r.01	# abajar
44635	38736	abdomen.n.01	# abdomen
46667	39731	open.v.01	# abrir
46049	39430	open.v.01	# abrir
47216	None	None	# abrigada
45050	38929	abundant.a.01	# abundante
44432	38618	entrance.n.01	# acceso
45884	39354	oil.n.01	# aceitar
47787	40286	accessible.s.04	# acogedor
46411	39600	fix.v.12	# acondicionar
48096	40445	tidiness.n.02	# acondicionamiento
45943	None	None	# acorde
47891	40344	agreement.n.01	# acordar
48022	40410	suitability.n.01	# adecuación
47870	40335	befit.v.01	# adecuar
47045	None	None	# adema
46518	None	None	# 
46956	None	None	# adir
46315	None	None	# adir
44356	None	None	# 
45383	None	None	# 
45444	None	None	# 
45452	None	None	# 
45473	None	None	# 
48388	None	None	# 
48442	None	None	# 
44731	None	None	# 
46651	39722	affect.v.01	# afectado
45912	None	None	# aforar
45917	None	None	# aforar
46115	None	None	# aforar
48129	None	None	# aforar
45861	39345	agenda.n.01	# agenda
45673	None	None	# 
46853	39822	please.v.01	# agradar
44556	38692	pleasing.a.01	# agradable
44923	38871	pleasing.a.01	# agradable
45213	39017	pleasing.a.01	# agradable
45512	39169	pleasing.a.01	# agradable
46222	39521	pleasing.a.01	# agradable
47849	40323	pleasing.a.01	# agradable
48439	40625	pleasing.a.01	# agradable
46303	None	None	# 
45507	39166	appreciate.v.01	# agradecer
48252	None	None	# 
46385	39588	gratitude.n.01	# agradecimiento
44427	38615	water.n.01	# agua
44510	38665	water.n.01	# agua
44517	38669	water.n.01	# agua
44749	38794	water.n.01	# agua
44782	38805	water.n.01	# agua
44817	38825	water.n.01	# agua
44868	38844	water.n.01	# agua
45015	38916	water.n.01	# agua
45048	38928	water.n.01	# agua
45172	38990	water.n.01	# agua
45186	39000	water.n.01	# agua
46225	39523	water.n.01	# agua
46549	39671	water.n.01	# agua
47152	39961	water.n.01	# agua
47161	39965	water.n.01	# agua
47285	40015	water.n.01	# agua
47296	40020	water.n.01	# agua
47792	40290	water.n.01	# agua
48352	40577	water.n.01	# agua
48355	40579	water.n.01	# agua
47713	40240	water.n.01	# agua
46410	39599	wind.n.01	# aire
44680	None	None	# a+el
44877	None	None	# a+el
45261	None	None	# a+el
45392	None	None	# a+el
45403	None	None	# a+el
45462	None	None	# a+el
45688	None	None	# a+el
45944	None	None	# a+el
46099	None	None	# a+el
46165	None	None	# a+el
46270	None	None	# a+el
47114	None	None	# a+el
47443	None	None	# a+el
47892	None	None	# a+el
48369	None	None	# a+el
48493	None	None	# a+el
47257	40005	debar.v.02	# alejar
44276	None	None	# algo
45066	None	None	# algo
45961	None	None	# algo
46256	None	None	# algo
46622	None	None	# algo
47017	None	None	# algo
47648	None	None	# algo
48413	None	None	# algo
46767	None	None	# alguno
47980	None	None	# alguno
44180	38481	pillow.n.01	# almohada
44631	38734	pillow.n.01	# almohada
45320	39072	about.r.04	# alrededor
45401	39109	tall.a.01	# alta
48554	40681	tall.a.01	# alta
44965	38890	option.n.02	# alternativa
44905	38863	tall.a.01	# alto
44218	38497	morning.n.01	# 
45045	38926	owner.n.02	# ama
46075	39444	kindness.n.01	# amabilidad
46455	39628	kindness.n.01	# amabilidad
47522	40141	kindness.n.01	# amabilidad
47917	40360	kindness.n.01	# amabilidad
44625	38730	kind.a.01	# amable
45265	39046	kind.a.01	# amable
46734	39767	kind.a.01	# amable
46744	39771	kind.a.01	# amable
46825	39812	kind.a.01	# amable
47047	39912	kind.a.01	# amable
47092	39933	kind.a.01	# amable
47451	40097	kind.a.01	# amable
47851	40324	kind.a.01	# amable
44241	38508	kind.a.01	# amable
44323	38552	kind.a.01	# amable
44384	38589	kind.a.01	# amable
44401	38599	kind.a.01	# amable
44521	38673	kind.a.01	# amable
45158	38982	kind.a.01	# amable
45449	39138	kind.a.01	# amable
45711	39266	kind.a.01	# amable
45744	39280	kind.a.01	# amable
46435	39619	kind.a.01	# amable
48209	40499	kind.a.01	# amable
44159	None	None	# 
45597	None	None	# 
47885	None	None	# 
47925	None	None	# 
48091	None	None	# 
48155	None	None	# 
44339	38561	environmental.a.01	# ambiental
48138	40459	environmental.a.01	# ambiental
46681	39738	acclimatize.v.01	# ambientar
44203	38491	environment.n.02	# ambientar
44873	38847	environment.n.02	# ambientar
44925	38872	environment.n.02	# ambientar
45303	39064	environment.n.02	# ambientar
45812	39313	environment.n.02	# ambientar
46044	39428	environment.n.02	# ambientar
46597	39695	environment.n.02	# ambientar
46695	39745	environment.n.02	# ambientar
47669	40214	environment.n.02	# ambientar
48534	40671	environment.n.02	# ambientar
45477	39147	environment.n.02	# ambientar
48391	None	None	# amblar
46025	None	None	# amblar
46004	None	None	# 
46005	None	None	# 
46431	None	None	# 
46422	None	None	# 
46498	None	None	# 
47807	None	None	# 
47689	40225	animal.n.01	# animal
45301	None	None	# 
47283	None	None	# 
47532	40147	anterior.a.01	# anterior
46671	39733	anteriorly.r.01	# antes
48497	40653	anteriorly.r.01	# antes
48510	40662	anteriorly.r.01	# antes
44823	None	None	# 
48313	40556	birthmark.n.01	# antojar
44746	38792	use.v.01	# aplicar
45649	None	None	# 
46488	None	None	# ar
45882	None	None	# 
46796	None	None	# 
45081	38943	aroma.n.02	# aroma
46603	39697	aroma.n.02	# aroma
45604	39215	aroma.n.02	# aroma
44528	38677	aromatherapy.n.01	# 
44685	38756	aromatherapy.n.01	# 
44934	38876	aromatherapy.n.01	# 
45079	38941	aromatherapy.n.01	# 
45094	38949	aromatherapy.n.01	# 
45102	38954	aromatherapy.n.01	# 
45124	38964	aromatherapy.n.01	# 
45168	38988	aromatherapy.n.01	# 
45754	39286	aromatherapy.n.01	# 
46692	39743	aromatherapy.n.01	# 
46963	39871	aromatherapy.n.01	# 
47125	39948	aromatherapy.n.01	# 
47133	39952	aromatherapy.n.01	# 
47877	40338	aromatherapy.n.01	# 
47883	40342	aromatherapy.n.01	# 
48340	40569	aromatherapy.n.01	# 
48477	40640	aromatherapy.n.01	# 
45078	None	None	# 
45091	None	None	# 
46959	None	None	# 
45125	38965	perfume.v.01	# aromatizar
44341	None	None	# 
45278	39054	art.n.02	# arte
44903	38862	ace.n.03	# as
45364	39092	ace.n.03	# as
47568	40166	ace.n.03	# as
48195	40489	ace.n.03	# as
48482	40641	ace.n.03	# as
46606	39698	toilet.n.02	# asear
44393	None	None	# 
44541	None	None	# 
45517	None	None	# 
45738	None	None	# 
45763	None	None	# 
45830	None	None	# 
45891	None	None	# 
46834	None	None	# 
47469	None	None	# 
48048	None	None	# 
44629	38733	appearance.n.01	# aspecto
45221	39021	appearance.n.01	# aspecto
47370	40049	appearance.n.01	# aspecto
44251	38515	watchfulness.n.02	# 
44371	38579	watchfulness.n.02	# 
44398	38596	watchfulness.n.02	# 
44405	38602	watchfulness.n.02	# 
44544	38682	watchfulness.n.02	# 
44704	38769	watchfulness.n.02	# 
45202	39010	watchfulness.n.02	# 
45458	39140	watchfulness.n.02	# 
45494	39157	watchfulness.n.02	# 
45503	39163	watchfulness.n.02	# 
45851	39338	watchfulness.n.02	# 
45902	39366	watchfulness.n.02	# 
46132	39469	watchfulness.n.02	# 
46171	39491	watchfulness.n.02	# 
46306	39553	watchfulness.n.02	# 
46329	39560	watchfulness.n.02	# 
46391	39591	watchfulness.n.02	# 
46406	39596	watchfulness.n.02	# 
46425	39612	watchfulness.n.02	# 
46822	39810	watchfulness.n.02	# 
46996	39892	watchfulness.n.02	# 
47112	39941	watchfulness.n.02	# 
47193	39977	watchfulness.n.02	# 
47372	40050	watchfulness.n.02	# 
47419	40080	watchfulness.n.02	# 
47488	40122	watchfulness.n.02	# 
47552	40159	watchfulness.n.02	# 
47843	40318	watchfulness.n.02	# 
47941	40369	watchfulness.n.02	# 
48007	40406	watchfulness.n.02	# 
48166	40474	watchfulness.n.02	# 
48171	40477	watchfulness.n.02	# 
48238	40513	watchfulness.n.02	# 
48266	40530	watchfulness.n.02	# 
48338	40568	watchfulness.n.02	# 
48448	40630	watchfulness.n.02	# 
48454	40634	watchfulness.n.02	# 
48487	40645	watchfulness.n.02	# 
45687	39254	serve.v.10	# atender
46345	39568	serve.v.10	# atender
45761	39291	serve.v.10	# atender
44677	38753	serve.v.10	# atender
45701	39259	serve.v.10	# atender
47923	40362	serve.v.10	# atender
48198	40490	serve.v.10	# atender
44581	None	None	# 
46015	None	None	# 
47105	None	None	# 
45179	38997	accommodating.a.01	# atentar
45264	39045	accommodating.a.01	# atentar
46021	39414	accommodating.a.01	# atentar
