ID_Word	ID_Synset	Synset
66060	None	None	# $
60211	None	None	# 
55117	None	None	# %
56140	None	None	# %
67543	None	None	# %
61172	None	None	# *
54443	None	None	# ,
54461	None	None	# ,
54498	None	None	# ,
54519	None	None	# ,
54563	None	None	# ,
55099	None	None	# ,
55528	None	None	# ,
55752	None	None	# ,
56685	None	None	# ,
58047	None	None	# ,
58173	None	None	# ,
58288	None	None	# ,
60340	None	None	# ,
61209	None	None	# ,
61818	None	None	# ,
62156	None	None	# ,
63058	None	None	# ,
63715	None	None	# ,
64020	None	None	# ,
64269	None	None	# ,
64888	None	None	# ,
65470	None	None	# ,
67752	None	None	# ,
67970	None	None	# ,
68067	None	None	# ,
69136	None	None	# ,
57927	None	None	# .
62115	None	None	# 
62485	47435	one.s.01	# 
69200	50877	one.n.01	# 
65939	None	None	# 
69085	None	None	# 
56139	44311	ten.n.01	# 
56374	44423	ten.n.01	# 
61105	46764	ten.s.01	# 
69202	50878	ten.n.01	# 
55116	43820	hundred.n.01	# 
67542	49994	hundred.n.01	# 
69207	50880	eleven.s.01	# 
60537	None	None	# 
66150	49271	twelve.s.01	# 
62985	47680	eighteen.n.01	# 
63668	48032	eighteen.n.01	# 
55973	44235	two.s.01	# 
60544	None	None	# 
61233	None	None	# 
61866	47144	two.s.01	# 
63756	48080	two.s.01	# 
63808	None	None	# 
64917	48631	two.s.01	# 
65377	48852	two.s.01	# 
67681	50067	two.s.01	# 
68057	50255	two.s.01	# 
65159	None	None	# 
60129	None	None	# 
63980	48189	twenty-three.s.01	# 
66148	49270	twenty-four.n.01	# 
62939	None	None	# 
65232	None	None	# 
61164	46790	twenty-nine.s.01	# 
56650	44563	three.n.01	# 
57439	None	None	# 
61785	47104	three.s.01	# 
67683	50068	three.s.01	# 
60764	None	None	# 
65943	None	None	# 
58628	None	None	# 
60335	None	None	# 
56022	44255	four.n.01	# 
54965	None	None	# 
66061	None	None	# 
62385	None	None	# 
68357	50413	five.n.01	# 
61631	None	None	# 
59761	46107	six.n.01	# 
60208	46312	seven.n.01	# 
62120	47265	seven.s.01	# 
55251	None	None	# 
58980	None	None	# 
63025	None	None	# 
63030	None	None	# 
54421	None	None	# a
54468	None	None	# a
54530	None	None	# a
54877	None	None	# a
55038	None	None	# a
55070	None	None	# a
55163	None	None	# a
55249	None	None	# a
55301	None	None	# a
55417	None	None	# a
55457	None	None	# a
55478	None	None	# a
55504	None	None	# a
55513	None	None	# a
55548	None	None	# a
55596	None	None	# a
55731	None	None	# a
55803	None	None	# a
55847	None	None	# a
55959	None	None	# a
56322	None	None	# a
56329	None	None	# a
56361	None	None	# a
56376	None	None	# a
56380	None	None	# a
56435	None	None	# a
56495	None	None	# a
56550	None	None	# a
56573	None	None	# a
56656	None	None	# a
56667	None	None	# a
56699	None	None	# a
56731	None	None	# a
56956	None	None	# a
56995	None	None	# a
57009	None	None	# a
57027	None	None	# a
57036	None	None	# a
57107	None	None	# a
57147	None	None	# a
57151	None	None	# a
57248	None	None	# a
57270	None	None	# a
57326	None	None	# a
57351	None	None	# a
57373	None	None	# a
57585	None	None	# a
57632	None	None	# a
57807	None	None	# a
57825	None	None	# a
57865	None	None	# a
58018	None	None	# a
58169	None	None	# a
58178	None	None	# a
58198	None	None	# a
58265	None	None	# a
58293	None	None	# a
58420	None	None	# a
58480	None	None	# a
58560	None	None	# a
58974	None	None	# a
58978	None	None	# a
59028	None	None	# a
59452	None	None	# a
59531	None	None	# a
59687	None	None	# a
59760	None	None	# a
59811	None	None	# a
59819	None	None	# a
59861	None	None	# a
60028	None	None	# a
60079	None	None	# a
60108	None	None	# a
60156	None	None	# a
60268	None	None	# a
60292	None	None	# a
60396	None	None	# a
60424	None	None	# a
60556	None	None	# a
60678	None	None	# a
60685	None	None	# a
60755	None	None	# a
60834	None	None	# a
60982	None	None	# a
61049	None	None	# a
61070	None	None	# a
61133	None	None	# a
61142	None	None	# a
61197	None	None	# a
61241	None	None	# a
61362	None	None	# a
61379	None	None	# a
61430	None	None	# a
61462	None	None	# a
61508	None	None	# a
61536	None	None	# a
61594	None	None	# a
61684	None	None	# a
61701	None	None	# a
61913	None	None	# a
61924	None	None	# a
61958	None	None	# a
62030	None	None	# a
62034	None	None	# a
62325	None	None	# a
62561	None	None	# a
62709	None	None	# a
62802	None	None	# a
62807	None	None	# a
62816	None	None	# a
62838	None	None	# a
62962	None	None	# a
63014	None	None	# a
63023	None	None	# a
63312	None	None	# a
63322	None	None	# a
63521	None	None	# a
63603	None	None	# a
63651	None	None	# a
63661	None	None	# a
63781	None	None	# a
63903	None	None	# a
63938	None	None	# a
63941	None	None	# a
64005	None	None	# a
64085	None	None	# a
64174	None	None	# a
64187	None	None	# a
64192	None	None	# a
64203	None	None	# a
64277	None	None	# a
64405	None	None	# a
64450	None	None	# a
64521	None	None	# a
64744	None	None	# a
64747	None	None	# a
64797	None	None	# a
64895	None	None	# a
64921	None	None	# a
64958	None	None	# a
65111	None	None	# a
65126	None	None	# a
65134	None	None	# a
65148	None	None	# a
65208	None	None	# a
65306	None	None	# a
65400	None	None	# a
65488	None	None	# a
66024	None	None	# a
66170	None	None	# a
66235	None	None	# a
66482	None	None	# a
66635	None	None	# a
66711	None	None	# a
66730	None	None	# a
66743	None	None	# a
66800	None	None	# a
67011	None	None	# a
67040	None	None	# a
67135	None	None	# a
67159	None	None	# a
67270	None	None	# a
67355	None	None	# a
67393	None	None	# a
67397	None	None	# a
67406	None	None	# a
67417	None	None	# a
67430	None	None	# a
67464	None	None	# a
67518	None	None	# a
67546	None	None	# a
67659	None	None	# a
67771	None	None	# a
67791	None	None	# a
67924	None	None	# a
67947	None	None	# a
67960	None	None	# a
68008	None	None	# a
68072	None	None	# a
68087	None	None	# a
68101	None	None	# a
68114	None	None	# a
68126	None	None	# a
68177	None	None	# a
68222	None	None	# a
68270	None	None	# a
68403	None	None	# a
68440	None	None	# a
68577	None	None	# a
68594	None	None	# a
68599	None	None	# a
68606	None	None	# a
68694	None	None	# a
68857	None	None	# a
68920	None	None	# a
69041	None	None	# a
69201	None	None	# a
58095	None	None	# 
58672	45557	down.r.01	# abajar
64154	48267	provision.n.02	# abastecimiento
55443	None	None	# 
55192	43860	approach.v.01	# abordar
57103	None	None	# 
58444	45446	absolutely.r.01	# 
64276	48323	absolutely.r.01	# 
64292	None	None	# 
60115	46269	abundant.a.01	# abundante
58004	None	None	# 
58369	45412	entrance.n.01	# acceso
61507	46955	entrance.n.01	# acceso
62866	47617	inflection.n.01	# accidentar
56941	44696	inflection.n.01	# accidentar
68239	50344	greasy.s.01	# aceitoso
68985	50764	acceptable.a.01	# aceptable
