# lockers
# amavilidad
waiter.n.01# meseros
monetary_value.n.01# precio
apartment.n.01# pisos
smooth.a.01# lisos
# restaurant
monetary_value.n.01# precios
restaurant.n.01# restaurante
umbrella.n.01# parasoles
# lockers
consume.v.02# tomar
# mas
large.a.01# grande
# parqueadero
monetary_value.n.01# costo
road.n.01# ruta
# anvianos
transportation.n.02# transporte
# comunicasion
transportation.n.02# transporte
shower.n.01# duchas
private.a.01# privadas
beverage.n.01# bebidas
# alcoholicas
better.v.02# mejorar
garden.n.01# jardines
# mas
assortment.n.01# variedad
# lockers
consume.v.02# comidas
