ID_Word	ID_Synset	Synset
35319	34223	water.n.01	# agua
35321	34225	water.n.01	# agua
35325	34227	water.n.01	# agua
35328	34228	water.n.01	# agua
35335	34231	water.n.01	# agua
35349	34239	water.n.01	# agua
35351	34240	water.n.01	# agua
35365	34246	water.n.01	# agua
35376	34250	water.n.01	# agua
35390	34255	water.n.01	# agua
35395	34256	water.n.01	# agua
35397	34257	water.n.01	# agua
35404	34258	water.n.01	# agua
35406	34259	water.n.01	# agua
35418	34263	water.n.01	# agua
35431	34268	water.n.01	# agua
35452	34273	water.n.01	# agua
35463	34276	water.n.01	# agua
35493	34284	water.n.01	# agua
35495	34285	water.n.01	# agua
35513	34292	water.n.01	# agua
35519	34293	water.n.01	# agua
35524	34295	water.n.01	# agua
35367	34247	environment.n.02	# ambientar
35433	34269	environment.n.02	# ambientar
35357	34243	watchfulness.n.02	# 
35322	34226	warm.a.01	# calentar
35320	34224	masturbate.v.02	# cascada
35332	34230	masturbate.v.02	# cascada
35336	34232	masturbate.v.02	# cascada
35339	34235	masturbate.v.02	# cascada
35344	34237	masturbate.v.02	# cascada
35346	34238	shower.n.04	# cascada
35354	34242	shower.n.04	# cascada
35360	34244	shower.n.04	# cascada
35378	34251	shower.n.04	# cascada
35383	34253	shower.n.04	# cascada
35387	34254	shower.n.04	# cascada
35412	34261	shower.n.04	# cascada
35415	34262	shower.n.04	# cascada
35420	34264	shower.n.04	# cascada
35424	34265	shower.n.04	# cascada
35429	34267	shower.n.04	# cascada
35455	34274	shower.n.04	# cascada
35458	34275	shower.n.04	# cascada
35465	34277	shower.n.04	# cascada
35467	34278	shower.n.04	# cascada
35490	34283	shower.n.04	# cascada
35504	34288	shower.n.04	# cascada
35506	34289	shower.n.04	# cascada
35508	34290	shower.n.04	# cascada
35510	34291	shower.n.04	# cascada
35522	34294	shower.n.04	# cascada
35479	34281	meal.n.01	# comedir
35450	34272	assent.n.01	# conformidad
35324	None	None	# el
35327	None	None	# el
35334	None	None	# el
35340	None	None	# el
35348	None	None	# el
35350	None	None	# el
35362	None	None	# el
35364	None	None	# el
35366	None	None	# el
35368	None	None	# el
35370	None	None	# el
35375	None	None	# el
35380	None	None	# el
35389	None	None	# el
35394	None	None	# el
35396	None	None	# el
35403	None	None	# el
35405	None	None	# el
35409	None	None	# el
35417	None	None	# el
35425	None	None	# el
35430	None	None	# el
35432	None	None	# el
35439	None	None	# el
35442	None	None	# el
35451	None	None	# el
35462	None	None	# el
35474	None	None	# el
35484	None	None	# el
35492	None	None	# el
35494	None	None	# el
35497	None	None	# el
35501	None	None	# el
35512	None	None	# el
35518	None	None	# el
35523	None	None	# el
35329	None	None	# el
35345	None	None	# el
35353	None	None	# el
35356	None	None	# el
35359	None	None	# el
35377	None	None	# el
35382	None	None	# el
35386	None	None	# el
35411	None	None	# el
35414	None	None	# el
35419	None	None	# el
35423	None	None	# el
35428	None	None	# el
35454	None	None	# el
35457	None	None	# el
35464	None	None	# el
35466	None	None	# el
35469	None	None	# el
35471	None	None	# el
35478	None	None	# el
35489	None	None	# el
35503	None	None	# el
35507	None	None	# el
35509	None	None	# el
35521	None	None	# el
35505	None	None	# el
35330	34229	universe.n.01	# naturaleza
35352	34241	universe.n.01	# naturaleza
35470	34279	universe.n.01	# naturaleza
35318	34222	landscape.n.01	# paisaje
35338	34234	landscape.n.01	# paisaje
35341	34236	landscape.n.01	# paisaje
35363	34245	landscape.n.01	# paisaje
35369	34248	landscape.n.01	# paisaje
35371	34249	landscape.n.01	# paisaje
35381	34252	landscape.n.01	# paisaje
35410	34260	landscape.n.01	# paisaje
35426	34266	landscape.n.01	# paisaje
35440	34270	landscape.n.01	# paisaje
35443	34271	landscape.n.01	# paisaje
35475	34280	landscape.n.01	# paisaje
35485	34282	landscape.n.01	# paisaje
35498	34286	landscape.n.01	# paisaje
35502	34287	landscape.n.01	# paisaje
35337	34233	swimming_pool.n.01	# piscina
35472	None	None	# 
35323	None	None	# todo
35326	None	None	# todo
35331	None	None	# todo
35333	None	None	# todo
35342	None	None	# todo
35343	None	None	# todo
35347	None	None	# todo
35355	None	None	# todo
35358	None	None	# todo
35361	None	None	# todo
35372	None	None	# todo
35373	None	None	# todo
35374	None	None	# todo
35379	None	None	# todo
35384	None	None	# todo
35385	None	None	# todo
35388	None	None	# todo
35391	None	None	# todo
35392	None	None	# todo
35393	None	None	# todo
35398	None	None	# todo
35399	None	None	# todo
35400	None	None	# todo
35401	None	None	# todo
35402	None	None	# todo
35407	None	None	# todo
35408	None	None	# todo
35413	None	None	# todo
35416	None	None	# todo
35421	None	None	# todo
35422	None	None	# todo
35427	None	None	# todo
35434	None	None	# todo
35435	None	None	# todo
35436	None	None	# todo
35437	None	None	# todo
