set_to_music.v.01# musica
lunch.n.01# comida
lunch.n.01# comida
same.a.02# mismo
# menu
monetary_value.n.01# costos
lunch.n.01# comida
monetary_value.n.01# precios
monetary_value.n.01# precios
stairway.n.01# escaleras
# pindana
entrance.n.01# acceso
monetary_value.n.01# precios
service.n.01# servicio
# cafeteria
slope.n.01# subida
# vestieres
monetary_value.n.01# precios
monetary_value.n.01# precios
monetary_value.n.01# precios
lunch.n.01# comida
lunch.n.01# almuerzo
monetary_value.n.01# precios
entrance.n.01# acceso
entrance.n.01# ingreso
food.n.02# alimentos
monetary_value.n.01# precios
monetary_value.n.01# precio
monetary_value.n.01# precios
monetary_value.n.01# precios
entrance.n.01# entrada
evil.a.01# mal
service.n.01# servicio
entrance.n.01# ingreso
roof.n.01# techo
trail.n.02# sendero
monetary_value.n.01# precios
watchfulness.n.02# atencion
# cafesito
lunch.n.01# comida
box_office.n.02# taquilla
monetary_value.n.01# costo
restaurant.n.01# restaurante
watchfulness.n.02# atencion
