# informacion
booklet.n.01# folletos
# carrtera
bathroom.n.01# baños
dirty.a.01# sucios
monetary_value.n.01# precio
# pasadia
lunch.n.01# almuerzo
enclosed.a.01# incluido
miss.v.06# falta
ad.n.01# publicidad
increase.n.02# incremento
entrance.n.01# entradas
topographic_point.n.01# sitio
# exlusivo
# excluyente
help.v.01# ayudaron
mammary_gland.n.01# mama
# demasiada
# presion
water.n.01# agua
miss.v.06# falta
watchfulness.n.02# atencion
necessity.n.02# necesidad
# vestier
one.s.01# primer
dwelling.n.01# piso
road.n.01# carretera
pave.v.01# pavimentar
dwelling.n.01# pisos
wet.a.01# mojados
slippery.a.01# resbaladizos
schedule.n.02# horario
restrict.v.03# restringido
swimming_pool.n.01# piscina
bracelet.n.02# brazaletes
temperature.n.01# temperatura
water.n.01# agua
# mas
short.a.03# baja
# mas
pleasing.a.01# agradable
road.n.01# camino
# camaras
# estan
hide.v.01# tapadas
shrub.n.01# arbustos
ease.n.01# facilidad
person.n.01# personas
major.a.03# mayores
# vias
miss.v.06# falta
framework.n.03# infraestructura
umbrella.n.01# sombrilla
dining_table.n.01# mesas
# carpa
hand.n.01# pata
# mojatse
road.n.01# camino
# cafe
temperature.n.01# temperatura
tall.a.01# alta
entrance.n.01# acceso
invest.v.01# invierten
topographic_point.n.01# lugar
same.a.02# mismo
maltreatment.n.01# maltrato
# hacia
employee.n.01# empleados
road.n.01# carretera
narrow.a.01# angosta
entrance.n.01# entrada
miss.v.06# falta
relish.n.03# sabor
lunch.n.01# comida
lunch.n.01# comida
# habitacion
listen.v.01# escuchaba
sound.n.02# sonido
# cascafa
service.n.01# servicio
towel.n.01# toallas
indulgence.n.03# mimos
benefit.n.02# beneficios
# huespedes
# tanta
people.n.01# gente
place.n.03# espacio
so.r.01# tan
small.a.01# pequeño
unaccompanied.a.01# solo
entrance.n.01# acceso
unaccompanied.a.01# sola
swimming_pool.n.01# piscina
watchfulness.n.02# atencion
waiter.n.01# meseros
desire.v.01# quiso
listen.v.01# atender
treat.v.03# trataron
bad.a.01# mal
swimming_pool.n.01# piscina
small.a.01# pequeña
lunch.n.01# comida
service.n.01# servicio
lunch.n.01# comida
# construccion
# nova
# aer
# acorde
environment.n.02# entorno
water.n.01# agua
warm.a.01# caliente
shower.n.01# ducha
# jabon
# elevador
hotel.n.01# hotel
room.n.01# cuartos
# ventilador
lunch.n.01# comida
even.a.03# regular
# mucha
assortment.n.01# variedad
hotel.n.01# hotel
room.n.01# habitaciones
# construccion
way.n.07# trayecto
hotel.n.01# hotel
swimming_pool.n.01# piscina
swimming_pool.n.01# piscinas
attached.a.02# anexas
good.a.01# buena
watchfulness.n.02# atencion
miss.v.06# faltaron
negligee.n.01# batas
# habitacion
comfort.n.02# tranquilidad
area.n.05# zonas
restaurant.n.01# restaurante
area.n.05# zona
parking_lot.n.01# parqueo
# lejania
# poca
assortment.n.01# variedad
# menu
delay.n.01# demora
# construccion
monetary_value.n.01# costo
beverage.n.01# tragos
monetary_value.n.01# precio
entrance.n.01# entrada
price.n.04# valor
room.n.01# habitaciones
displace.v.03# pueden
perceive.v.01# ver
swimming_pool.n.01# piscinas
monetary_value.n.01# precio
# cafe
# parqueadero
farther.r.02# lejos
monetary_value.n.01# precio
# comid
short.a.03# baja
watchfulness.n.02# atencion
restaurant.n.01# restaurante
function.v.01# funciona
# wi
phi.n.01# fi
# habitacion
troublesomeness.n.01# inconvenientes
massage.n.01# masajes
# muchas
# vecesno
handiness.n.02# disponibilidad
attentional.a.01# atencional
customer.n.01# cliente
# frio
# construccion
weather.n.01# clima
# frio
window.n.01# ventanas
thick.a.01# gruesas
listen.v.01# escuchaba
sound.n.02# sonido
masturbate.v.02# cascada
