ID_Word	ID_Synset	Synset
35870	None	None	# a
35971	None	None	# a
36012	None	None	# a
36043	None	None	# a
36086	None	None	# a
35949	34522	entrance.n.01	# acceso
36011	34553	entrance.n.01	# acceso
36045	34568	chord.n.02	# acorde
36044	None	None	# 
35906	34500	pleasing.a.01	# agradable
35866	34478	water.n.01	# agua
35901	34497	water.n.01	# agua
36051	34572	water.n.01	# agua
36104	None	None	# alguno
35842	34468	breakfast.n.01	# almorzar
35947	34521	tall.a.01	# alta
36091	34591	adjacent.s.01	# anexar
35965	34531	narrow.a.01	# angostar
35915	34503	shrub.n.01	# arbusto
35869	34480	watchfulness.n.02	# 
36017	34556	watchfulness.n.02	# 
36095	34595	watchfulness.n.02	# 
36157	34622	watchfulness.n.02	# 
36178	34631	attentional.a.01	# 
36025	34560	serve.v.10	# atender
35859	34476	help.v.01	# ayudar
35904	34499	short.a.03	# baja
36156	34621	short.a.03	# baja
36097	34597	negligee.n.01	# bata
35834	34464	bathtub.n.01	# baño
35997	34546	net_income.n.01	# beneficio
35896	34495	watchband.n.01	# brazalete
36094	34594	good.a.01	# bueno
35945	None	None	# 
36148	None	None	# 
36052	34573	warm.a.01	# calentar
35911	None	None	# 
35909	34501	road.n.01	# caminar
35943	34519	road.n.01	# caminar
35937	34516	tent.n.01	# carpa
35880	34486	road.n.01	# carretera
35964	34530	road.n.01	# carretera
35832	None	None	# 
36201	34641	shower.n.04	# cascada
35985	None	None	# 
36179	34632	customer.n.01	# cliente
36185	34633	weather.n.01	# clima
36155	None	None	# 
35973	34535	meal.n.01	# comedir
35975	34536	meal.n.01	# comedir
36034	34565	meal.n.01	# comedir
36039	34567	meal.n.01	# comedir
36066	34580	meal.n.01	# comedir
35841	None	None	# con
35860	None	None	# con
35914	None	None	# con
36046	None	None	# con
36041	None	None	# 
36080	None	None	# 
36121	None	None	# 
36183	None	None	# 
36124	34607	monetary_value.n.01	# costo
36063	34579	room.n.01	# 4
35846	None	None	# de
35850	None	None	# de
35868	None	None	# de
35891	None	None	# de
35983	None	None	# de
35990	None	None	# de
36019	None	None	# de
36076	None	None	# de
36083	None	None	# de
36108	None	None	# de
36125	None	None	# de
36130	None	None	# de
36153	None	None	# de
36199	None	None	# de
35865	None	None	# de+el
35900	None	None	# de+el
35863	None	None	# demasiado
36118	34606	delay.n.01	# demora
35976	None	None	# desde
36136	None	None	# desde
36177	34630	handiness.n.02	# disponibilidad
36054	34574	shower.n.04	# ducha
35848	None	None	# el
35877	None	None	# el
35908	None	None	# el
35942	None	None	# el
35944	None	None	# el
35948	None	None	# el
35953	None	None	# el
35981	None	None	# el
36004	None	None	# el
36035	None	None	# el
36047	None	None	# el
36061	None	None	# el
36072	None	None	# el
36074	None	None	# el
36081	None	None	# el
36084	None	None	# el
36115	None	None	# el
36123	None	None	# el
36128	None	None	# el
36133	None	None	# el
36145	None	None	# el
36147	None	None	# el
36151	None	None	# el
36159	None	None	# el
36163	None	None	# el
36180	None	None	# el
36184	None	None	# el
36186	None	None	# el
36197	None	None	# el
36059	34577	elevator.n.01	# elevador
35962	34529	employee.n.01	# empleado
35829	None	None	# en
35876	None	None	# en
35907	None	None	# en
35931	None	None	# en
35941	None	None	# en
35952	None	None	# en
36060	None	None	# en
36103	None	None	# en
36114	None	None	# en
36119	None	None	# en
36158	None	None	# en
36166	None	None	# en
36048	34569	environment.n.02	# entornar
35967	34532	entrance.n.01	# entrada
36132	34610	entrance.n.01	# entrada
35852	34473	entrance.n.01	# entrada
35956	34526	be.v.01	# ser
35980	34537	listen.v.01	# escuchar
36196	34639	listen.v.01	# escuchar
36005	34548	place.n.03	# espaciar
35887	34490	be.v.01	# estar
36075	34585	state.n.02	# estado
35912	None	None	# 
35856	None	None	# excluyente
35854	None	None	# 
35918	34506	ease.n.01	# facilidad
35845	34470	lack.n.01	# falta
35867	34479	lack.n.01	# falta
35925	34509	miss.v.06	# falta
35969	34533	miss.v.06	# falta
36096	34596	miss.v.06	# faltar
36165	34626	phi.n.01	# fi
35830	34463	booklet.n.01	# folleto
36181	None	None	# 
36187	None	None	# 
36162	34625	function.v.01	# funcionar
36002	34547	people.n.01	# gente
36193	34638	thick.a.01	# gruesa
35978	None	None	# 
36099	None	None	# 
36168	None	None	# 
36078	34586	room.n.01	# habitación
36138	34612	room.n.01	# habitación
35960	None	None	# hacia
35827	34462	be.v.03	# haber
35875	34483	be.v.03	# haber
35917	34505	be.v.03	# haber
35929	34512	be.v.03	# haber
36058	34576	be.v.03	# haber
36101	34599	be.v.03	# haber
36176	34629	be.v.03	# haber
35838	34467	be.v.03	# haber
35936	34515	be.v.03	# haber
35889	34492	schedule.n.02	# horario
36062	34578	hotel.n.01	# hotel
36073	34584	hotel.n.01	# hotel
36085	34588	hotel.n.01	# hotel
36000	None	None	# 
35843	34469	include.v.01	# incluir
36169	34627	inconvenience.n.03	# inconveniente
35849	34472	increase.n.03	# incrementar
35828	None	None	# 
35926	34510	framework.n.03	# infraestructura
35951	34524	revoke.v.02	# invertir
36056	None	None	# 
35831	None	None	# el
35844	None	None	# el
35892	None	None	# el
35898	None	None	# el
35963	None	None	# el
35966	None	None	# el
35972	None	None	# el
