ID_Word	ID_Lemma	Lemma
43704	78313	"
43753	78362	"
43909	78518	,
43733	78342	
43748	78357	
43746	78355	
43660	78269	
43747	78356	:
43722	78331	;
43494	78103	a
43550	78159	a
43575	78184	a
43583	78192	a
43588	78197	a
43731	78340	a
43744	78353	a
43785	78394	a
43811	78420	a
43794	78403	acondicionar
43982	78591	acordar
43587	78196	acorde
43828	78437	actividad
43810	78419	acordar
43664	78273	adicional
43903	78512	adicional
43560	78169	
43698	78307	administrador
43508	78117	agua
43759	78368	agua
43774	78383	agua
44137	78746	agua
43703	78312	
43793	78402	aire
43691	78300	a+el
43708	78317	a+el
43618	78227	
43651	78260	
43848	78457	
44061	78670	
44070	78679	
44080	78689	alimento
43734	78343	
43815	78424	ambiental
43868	78477	ambientar
43971	78580	ambientar
44114	78723	
43967	78576	amigable
43573	78182	
43699	78308	
43849	78458	apoyar
43679	78288	
43784	78393	
43876	78485	asear
43927	78536	asilar
43581	78190	
43616	78225	
43673	78282	
43681	78290	
43882	78491	
44042	78651	
43669	78278	atención
43635	78244	aviso
43585	78194	bajar
44006	78615	bar
43834	78443	barato
43517	78126	bañar
43663	78272	bañar
44123	78732	bañar
43514	78123	baño
44030	78639	baño
43598	78207	bien
44065	78674	bien
44095	78704	bien
44131	78740	bien
43994	78603	bolsa
43851	78460	botonar
43530	78139	broma
43617	78226	bueno
44072	78681	buffer
43579	78188	
44047	78656	cabellar
43890	78499	café
44124	78733	
43706	78315	calidad
44107	78716	calidad
43760	78369	calentar
43485	78094	camino
43821	78430	camping
44045	78654	cepillar
43493	78102	cerca
44135	78744	chorro
44035	78644	
44106	78715	cliente
43766	78375	cobrar
44117	78726	
43923	78532	
43535	78144	comedor
43884	78493	comedor
43946	78555	comedir
43800	78409	
43543	78152	comedir
43944	78553	comedir
44016	78625	comedir
43593	78202	comer
43808	78417	
44062	78671	completar
43654	78263	completar
44000	78609	completar
43486	78095	con
43641	78250	con
43657	78266	con
43725	78334	con
43968	78577	con
44029	78638	con
44049	78658	con
44101	78710	con
44121	78730	con
43724	78333	contar
43574	78183	control
43640	78249	convenio
43500	78109	
43603	78212	
44083	78692	
44100	78709	coquetear
43714	78323	costo
43591	78200	crear
43908	78517	dar
43499	78108	de
43507	78116	de
43531	78140	de
43609	78218	de
43621	78230	de
43644	78253	de
43659	78268	de
43676	78285	de
43710	78319	de
43715	78324	de
43735	78344	de
43740	78349	de
43757	78366	de
43773	78382	de
43799	78408	de
43809	78418	de
43816	78425	de
43820	78429	de
43847	78456	de
43850	78459	de
43854	78463	de
43871	78480	de
43937	78546	de
43950	78559	de
43955	78564	de
44020	78629	de
44046	78655	de
44059	78668	de
44079	78688	de
44104	78713	de
44108	78717	de
44116	78725	de
44136	78745	de
44140	78749	de
44068	78677	debe
43719	78328	
43723	78332	
43922	78531	
44139	78748	
43674	78283	de+el
43687	78296	de+el
43693	78302	de+el
43717	78326	de+el
43883	78492	de+el
44024	78633	demasiado
44149	78758	
44009	78618	desde
43549	78158	diferente
43790	78399	discapacitado
44017	78626	discoteca
44081	78690	discoteca
43537	78146	disponibilidad
43917	78526	distinto
43695	78304	donde
43932	78541	dormir
43611	78220	ducha
44019	78628	ducha
43990	78599	ducha
44050	78659	ducha
43630	78239	
44133	78742	
43482	78091	el
43534	78143	el
43539	78148	el
43554	78163	el
43562	78171	el
43567	78176	el
43697	78306	el
43713	78322	el
43767	78376	el
43791	78400	el
43797	78406	el
43830	78439	el
43845	78454	el
43867	78476	el
43869	78478	el
43895	78504	el
43928	78537	el
43961	78570	el
43969	78578	el
43980	78589	el
43996	78605	el
44010	78619	el
44066	78675	el
43518	78127	en
43524	78133	en
43533	78142	en
43538	78147	en
43547	78156	en
43561	78170	en
43612	78221	en
43632	78241	en
43646	78255	en
43655	78264	en
43684	78293	en
43701	78310	en
43707	78316	en
43727	78336	en
43761	78370	en
43804	78413	en
43844	78453	en
43877	78486	en
43892	78501	en
43911	78520	en
43942	78551	en
43973	78582	en
43979	78588	en
43991	78600	en
44002	78611	en
44014	78623	en
44032	78641	en
44036	78645	en
44084	78693	en
44110	78719	en
44125	78734	en
44146	78755	en
