ID_Word	ID_Lemma	Lemma
40911	75520	"
40952	75561	"
41145	75754	,
41690	76299	,
42154	76763	,
42558	77167	,
42566	77175	,
42583	77192	,
42741	77350	,
42903	77512	,
42081	76690	
42673	77282	
42678	77287	
42950	77559	
41754	76363	
41756	76365	
43149	77758	
40924	75533	
41433	76042	
43174	77783	
41302	75911	
41977	76586	
41451	76060	
41853	76462	
41873	76482	
42042	76651	
43320	77929	
41237	75846	
41894	76503	
42697	77306	
42180	76789	
42410	77019	
42728	77337	
43376	77985	
42731	77340	
41323	75932	
41677	76286	
42719	77328	
41240	75849	
42571	77180	
41332	75941	
40932	75541	;
40941	75550	;
40982	75591	a
41011	75620	a
41314	75923	a
41431	76040	a
41447	76056	a
41521	76130	a
41614	76223	a
41732	76341	a
41736	76345	a
41975	76584	a
42067	76676	a
42265	76874	a
42473	77082	a
42576	77185	a
42628	77237	a
42979	77588	a
43120	77729	a
43143	77752	a
43147	77756	a
43152	77761	a
43170	77779	a
43200	77809	a
43312	77921	a
43476	78085	a
41678	76287	
40927	75536	abeja
41464	76073	abertura
42316	76925	abrir
41955	76564	abrir
41555	76164	abrir
43417	78026	acceder
43142	77751	acceder
41126	75735	accesible
43116	77725	acceso
43316	77925	accidentar
43328	77937	accidentar
41620	76229	aceptar
40915	75524	
42173	76782	
43287	77896	acogedor
42403	77012	acoger
43330	77939	acompañante
41613	76222	acordar
42441	77050	acordar
42751	77360	adecuar
40875	75484	adema
41182	75791	adema
41816	76425	adema
42095	76704	adema
43259	77868	adema
42416	77025	adicional
42435	77044	adicional
42750	77359	adicional
42535	77144	administrador
41854	76463	adulto
43027	77636	afectado
41580	76189	afirmar
41804	76413	agotar
41967	76576	agua
41973	76582	agua
42279	76888	agua
43427	78036	agua
43445	78054	agua
41329	75938	
42453	77062	ahora
40936	75545	ajustar
41119	75728	a+el
41127	75736	a+el
41198	75807	a+el
41498	76107	a+el
41652	76261	a+el
41858	76467	a+el
41860	76469	a+el
42044	76653	a+el
42260	76869	a+el
42631	77240	a+el
42808	77417	a+el
43117	77726	a+el
43236	77845	a+el
43418	78027	a+el
43422	78031	a+el
43046	77655	
41015	75624	algo
42555	77164	algo
41596	76205	
42836	77445	alguno
41423	76032	alguno
42976	77585	alguno
41251	75860	alguno
41564	76173	
42193	76802	
41181	75790	alimenticio
41724	76333	alimento
42522	77131	alimento
42688	77297	alimento
41413	76022	
43460	78069	
42320	76929	
41203	75812	almohada
42565	77174	almorzar
42261	76870	almorzar
42546	77155	almorzar
41039	75648	alojamiento
42659	77268	alojamiento
42718	77327	alquilar
41248	75857	alta
43071	77680	
41147	75756	alternativa
41448	76057	
40983	75592	alto
43477	78086	alto
41452	76061	
41571	76180	amabilidad
42561	77170	amabilidad
42643	77252	amable
41712	76321	ambientar
42144	76753	ambientar
42769	77378	ambientar
43104	77713	ambientar
40964	75573	amblar
42140	76749	amigable
42765	77374	
43449	78058	
42813	77422	anca
41526	76135	
42491	77100	
41818	76427	anotar
41719	76328	
42304	76913	
42512	77121	
42011	76620	antes
42542	77151	antes
43105	77714	
43357	77966	aplicar
43041	77650	
42047	76656	aquí
42222	76831	aquí
41954	76563	
41686	76295	
41791	76400	
43184	77793	
42910	77519	
42028	76637	
41583	76192	arriba
43239	77848	ascensor
42362	76971	asear
42427	77036	
42868	77477	
43006	77615	
41295	75904	
40958	75567	
41386	75995	
41589	76198	
41700	76309	
41986	76595	
42021	76630	
42149	76758	
42296	76905	
42371	76980	
42782	77391	
42953	77562	
43336	77945	
40999	75608	atención
41093	75702	atender
42681	77290	atender
41229	75838	atender
42594	77203	
42640	77249	
42960	77569	atentar
42884	77493	
42907	77516	ave
43226	77835	avisar
41047	75656	ayuda
42045	76654	año
41303	75912	año
42181	76790	año
41912	76521	
42852	77461	
40886	75495	bandeja
42018	76627	bar
42746	77355	
43387	77996	bastante
41683	76292	basura
41971	76580	
40948	75557	bañar
41272	75881	bañar
42709	77318	bañar
43267	77876	bañar
43385	77994	bañar
43443	78052	bañar
42366	76975	baño
42917	77526	baño
41675	76284	beber
42375	76984	beber
41913	76522	
42378	76987	bien
43412	78021	bien
42135	76744	bloqueador
42293	76902	bonito
41844	76453	
43479	78088	borracho
41426	76035	botella
41591	76200	bueno
42212	76821	bueno
41064	75673	bueno
42295	76904	bueno
42402	77011	bueno
42604	77213	bueno
42838	77447	bueno
42952	77561	bueno
41006	75615	bueno
41345	75954	bueno
42309	76918	bueno
42431	77040	bueno
42456	77065	bueno
42989	77598	bueno
43265	77874	bueno
43371	77980	bueno
42105	76714	bufet
42554	77163	
42097	76706	
42496	77105	bulla
43042	77651	buscar
42630	77239	
43473	78082	cabaña
41817	76426	cabe
