ID_Word	ID_Lemma	Lemma
45986	80595	
45990	80599	
45657	80266	(
45659	80268	)
44174	78783	,
44204	78813	,
44252	78861	,
44280	78889	,
44303	78912	,
44368	78977	,
44385	78994	,
44411	79020	,
44452	79061	,
44459	79068	,
44466	79075	,
44572	79181	,
44597	79206	,
44660	79269	,
44700	79309	,
44726	79335	,
44757	79366	,
44760	79369	,
44777	79386	,
44790	79399	,
44830	79439	,
44839	79448	,
44844	79453	,
44853	79462	,
44897	79506	,
44943	79552	,
45064	79673	,
45082	79691	,
45133	79742	,
45200	79809	,
45206	79815	,
45423	80032	,
45515	80124	,
45559	80168	,
45568	80177	,
45617	80226	,
45634	80243	,
45669	80278	,
45693	80302	,
45704	80313	,
45712	80321	,
45810	80419	,
45867	80476	,
45876	80485	,
45883	80492	,
45938	80547	,
45940	80549	,
45974	80583	,
46045	80654	,
46074	80683	,
46226	80835	,
46241	80850	,
46296	80905	,
46330	80939	,
46348	80957	,
46515	81124	,
46557	81166	,
46569	81178	,
46601	81210	,
46644	81253	,
46660	81269	,
46680	81289	,
46735	81344	,
46933	81542	,
47053	81662	,
47095	81704	,
47196	81805	,
47242	81851	,
47499	82108	,
47594	82203	,
47632	82241	,
47650	82259	,
47697	82306	,
47988	82597	,
44863	79472	.
48508	83117	
48025	82634	
48316	82925	
47613	82222	
48495	83104	
44217	78826	
44215	78824	a
44301	78910	a
44513	79122	a
44530	79139	a
44574	79183	a
44622	79231	a
44728	79337	a
44741	79350	a
44824	79433	a
44914	79523	a
45372	79981	a
45454	80063	a
45600	80209	a
45619	80228	a
45985	80594	a
46050	80659	a
46152	80761	a
46322	80931	a
46341	80950	a
46355	80964	a
46519	81128	a
46677	81286	a
46704	81313	a
46784	81393	a
46859	81468	a
46902	81511	a
46911	81520	a
47029	81638	a
47033	81642	a
47658	82267	a
47694	82303	a
47765	82374	a
47854	82463	a
48008	82617	a
48027	82636	a
48115	82724	a
48135	82744	a
48249	82858	a
48334	82943	a
48460	83069	a
45431	80040	abajar
44635	79244	abdomen
46667	81276	abrir
46049	80658	abrir
47216	81825	abrigada
45050	79659	abundante
44432	79041	acceso
45884	80493	aceitar
47787	82396	acogedor
46411	81020	acondicionar
48096	82705	acondicionamiento
45943	80552	acorde
47891	82500	acordar
48022	82631	adecuación
47870	82479	adecuar
47045	81654	adema
46518	81127	
46956	81565	adir
46315	80924	adir
44356	78965	
45383	79992	
45444	80053	
45452	80061	
45473	80082	
48388	82997	
48442	83051	
44731	79340	
46651	81260	afectado
45912	80521	aforar
45917	80526	aforar
46115	80724	aforar
48129	82738	aforar
45861	80470	agenda
45673	80282	
46853	81462	agradar
44556	79165	agradable
44923	79532	agradable
45213	79822	agradable
45512	80121	agradable
46222	80831	agradable
47849	82458	agradable
48439	83048	agradable
46303	80912	
45507	80116	agradecer
48252	82861	
46385	80994	agradecimiento
44427	79036	agua
44510	79119	agua
44517	79126	agua
44749	79358	agua
44782	79391	agua
44817	79426	agua
44868	79477	agua
45015	79624	agua
45048	79657	agua
45172	79781	agua
45186	79795	agua
46225	80834	agua
46549	81158	agua
47152	81761	agua
47161	81770	agua
47285	81894	agua
47296	81905	agua
47792	82401	agua
48352	82961	agua
48355	82964	agua
47713	82322	agua
46410	81019	aire
44680	79289	a+el
44877	79486	a+el
45261	79870	a+el
45392	80001	a+el
45403	80012	a+el
45462	80071	a+el
45688	80297	a+el
45944	80553	a+el
46099	80708	a+el
46165	80774	a+el
46270	80879	a+el
47114	81723	a+el
47443	82052	a+el
47892	82501	a+el
48369	82978	a+el
48493	83102	a+el
47257	81866	alejar
44276	78885	algo
45066	79675	algo
45961	80570	algo
46256	80865	algo
46622	81231	algo
47017	81626	algo
47648	82257	algo
48413	83022	algo
46767	81376	alguno
47980	82589	alguno
44180	78789	almohada
44631	79240	almohada
45320	79929	alrededor
45401	80010	alta
48554	83163	alta
44965	79574	alternativa
44905	79514	alto
44218	78827	
45045	79654	ama
46075	80684	amabilidad
46455	81064	amabilidad
47522	82131	amabilidad
47917	82526	amabilidad
44625	79234	amable
45265	79874	amable
46734	81343	amable
46744	81353	amable
46825	81434	amable
47047	81656	amable
47092	81701	amable
47451	82060	amable
47851	82460	amable
44241	78850	amable
44323	78932	amable
44384	78993	amable
44401	79010	amable
44521	79130	amable
45158	79767	amable
45449	80058	amable
45711	80320	amable
45744	80353	amable
46435	81044	amable
48209	82818	amable
44159	78768	
45597	80206	
47885	82494	
47925	82534	
48091	82700	
48155	82764	
44339	78948	ambiental
48138	82747	ambiental
46681	81290	ambientar
44203	78812	ambientar
44873	79482	ambientar
44925	79534	ambientar
45303	79912	ambientar
45812	80421	ambientar
46044	80653	ambientar
46597	81206	ambientar
46695	81304	ambientar
47669	82278	ambientar
48534	83143	ambientar
45477	80086	ambientar
48391	83000	amblar
46025	80634	amblar
46004	80613	
46005	80614	
46431	81040	
46422	81031	
46498	81107	
47807	82416	
47689	82298	animal
45301	79910	
47283	81892	
47532	82141	anterior
46671	81280	antes
48497	83106	antes
48510	83119	antes
44823	79432	
48313	82922	antojar
44746	79355	aplicar
45649	80258	
46488	81097	ar
45882	80491	
46796	81405	
45081	79690	aroma
46603	81212	aroma
45604	80213	aroma
44528	79137	
44685	79294	
44934	79543	
45079	79688	
45094	79703	
45102	79711	
45124	79733	
45168	79777	
45754	80363	
46692	81301	
46963	81572	
47125	81734	
47133	81742	
47877	82486	
47883	82492	
48340	82949	
48477	83086	
45078	79687	
45091	79700	
46959	81568	
45125	79734	aromatizar
44341	78950	
45278	79887	arte
44903	79512	as
45364	79973	as
47568	82177	as
48195	82804	as
48482	83091	as
46606	81215	asear
44393	79002	
44541	79150	
45517	80126	
45738	80347	
45763	80372	
45830	80439	
45891	80500	
46834	81443	
47469	82078	
48048	82657	
44629	79238	aspecto
45221	79830	aspecto
47370	81979	aspecto
44251	78860	
44371	78980	
44398	79007	
44405	79014	
44544	79153	
44704	79313	
45202	79811	
45458	80067	
45494	80103	
45503	80112	
