ID_Word	ID_Lemma	Lemma
36803	71412	agua
36836	71445	agua
36840	71449	agua
36845	71454	agua
36856	71465	agua
36860	71469	agua
36882	71491	agua
36820	71429	agua
36823	71432	agua
36842	71451	agua
36849	71458	agua
36851	71460	agua
36885	71494	agua
36900	71509	agua
36812	71421	a+el
36798	71407	ambientar
36876	71485	
36878	71487	
36887	71496	
36830	71439	bueno
36796	71405	bueno
36827	71436	
36814	71423	de
36802	71411	el
36835	71444	el
36839	71448	el
36844	71453	el
36855	71464	el
36859	71468	el
36863	71472	el
36881	71490	el
36897	71506	el
36817	71426	
36866	71475	
36883	71492	
36799	71408	el
36807	71416	el
36815	71424	el
36828	71437	el
36837	71446	el
36869	71478	el
36875	71484	el
36877	71486	el
36886	71495	el
36892	71501	el
36903	71512	el
36813	71422	lado
36819	71428	el
36822	71431	el
36841	71450	el
36848	71457	el
36850	71459	el
36884	71493	el
36899	71508	el
36852	71461	el
36889	71498	el
36894	71503	mas
36853	71462	medicinal
36826	71435	mucho
36890	71499	natural
36800	71409	naturaleza
36808	71417	naturaleza
36809	71418	naturaleza
36829	71438	naturaleza
36838	71447	naturaleza
36846	71455	naturaleza
36847	71456	naturaleza
36893	71502	naturaleza
36902	71511	naturaleza
36904	71513	naturaleza
36872	71481	paisaje
36873	71482	paisaje
36898	71507	paisaje
36805	71414	
36816	71425	piscina
36801	71410	piscina
36806	71415	piscina
36824	71433	piscina
36879	71488	por
36895	71504	privado
36810	71419	poder
36868	71477	
36871	71480	
36880	71489	salud
36818	71427	servicio
36831	71440	servicio
36864	71473	servicio
36821	71430	todo
36833	71442	todo
36857	71466	todo
36861	71470	todo
36862	71471	todo
36865	71474	todo
36888	71497	todo
36891	71500	todo
36896	71505	todo
36901	71510	todo
36811	71420	tomar
36797	71406	tranquilidad
36825	71434	tranquilidad
36832	71441	tranquilidad
36834	71443	tranquilidad
36843	71452	tranquilidad
36858	71467	tranquilidad
36867	71476	tranquilidad
36854	71463	tranquilo
36804	71413	uno
36870	71479	ver
36874	71483	y
