+--------------+--------------------------------------------------------------+------------------------+------------+------------+------------+
|     Verb     |                           context                            |         synset         | Polarity + | Polarity - | Polarity = |
+--------------+--------------------------------------------------------------+------------------------+------------+------------+------------+
|              |             ... , very slow-moving , aimless ...             |    slow-moving.s.01    |    0.0     |    0.0     |    1.0     |
|   distress   |            ... about a distressed , drifting ...             |     distress.v.02      |    0.0     |    0.5     |    0.5     |
|    drift     |           ... distressed , drifting young man ...            |       roll.v.12        |   0.125    |   0.375    |    0.5     |
|      be      |                  sure who was more lost ...                  |        be.v.01         |    0.25    |   0.125    |   0.625    |
|     lose     |                 ... was more lost - the ...                  |       lose.v.05        |    0.0     |   0.125    |   0.875    |
|     walk     |                   ... of whom walked out .                   |       walk.v.01        |    0.0     |    0.0     |    1.0     |
|   attempt    |                      artiness with ...                       |        try.v.01        |    0.0     |    0.0     |    1.0     |
|  disappoint  |           ... the movie disappointed - became ...            |    disappoint.v.01     |    0.0     |    0.25    |    0.75    |
|    become    |           ... disappointed - became even more ...            |      become.v.01       |    0.0     |    0.0     |    1.0     |
|     act      |                ... as the acting was poor ...                |        act.v.01        |    0.0     |    0.0     |    1.0     |
|      be      |               ... the acting was poor and ...                |        be.v.01         |    0.25    |   0.125    |   0.625    |
|    speak     |                  ... anything to speak of .                  |       talk.v.02        |    0.0     |    0.0     |    1.0     |
|      be      |              ... the movie was when gerardo ...              |        be.v.01         |    0.25    |   0.125    |   0.625    |
|      be      |              ... when gerardo is trying to ...               |        be.v.01         |    0.25    |   0.125    |   0.625    |
|     try      |              ... gerardo is trying to find ...               |        try.v.01        |    0.0     |    0.0     |    1.0     |
|     find     |                ... trying to find a song ...                 |      detect.v.01       |    0.0     |    0.0     |    1.0     |
|     keep     |           ... song that keeps running through ...            |       keep.v.01        |    0.0     |    0.0     |    1.0     |
|     run      |            ... that keeps running through his ...            |       tend.v.01        |    0.5     |   0.125    |   0.375    |
|     lack     |                ... the movie lacks art , ...                 |       miss.v.06        |   0.125    |    0.0     |   0.875    |
|     mean     |                ... charm , meaning ... if ...                |       mean.v.03        |    0.0     |    0.0     |    1.0     |
|     work     |                  ... , it works i guess ...                  |       shape.v.02       |    0.0     |    0.0     |    1.0     |
|    guess     |              ... works i guess because it's ...              |     estimate.v.01      |    0.0     |    0.0     |    1.0     |
|    waste     |                        two hours ...                         |       waste.v.01       |   0.125    |    0.0     |   0.875    |
|     saw      |                        the movie ...                         |        saw.v.01        |    0.0     |    0.0     |    1.0     |
|    think     |               ... today and thought it was ...               |       think.v.02       |   0.125    |    0.0     |   0.875    |
|      be      |                ... thought it was a good ...                 |        be.v.01         |    0.25    |   0.125    |   0.625    |
|     love     |                       the casting ...                        |       love.v.02        |    1.0     |    0.0     |    0.0     |
|      be      |                ... baby owls were adorable .                 |        be.v.01         |    0.25    |   0.125    |   0.625    |
|     show     |                    movie showed a lot ...                    |      express.v.01      |    0.0     |    0.0     |    1.0     |
|     make     |                 ... best , made it look ...                  |       make.v.02        |    0.0     |    0.0     |    1.0     |
|     look     |             ... made it look very appealing ...              |       look.v.02        |    0.0     |    0.0     |    1.0     |
|    appeal    |                  ... look very appealing .                   |      attract.v.02      |   0.625    |    0.0     |   0.375    |
|      be      |                   songs were the best ...                    |        be.v.01         |    0.25    |   0.125    |   0.625    |
|      be      |            ... the muppets were so hilarious ...             |        be.v.01         |    0.25    |   0.125    |   0.625    |
|      be      |                       was so cool ...                        |        be.v.01         |    0.25    |   0.125    |   0.625    |
|      be      |                        is a very ...                         |        be.v.01         |    0.25    |   0.125    |   0.625    |
|   deliver    |        ... movie that delivers everything almost ...         |    give_birth.v.01     |    0.0     |    0.0     |    1.0     |
|     have     |                     had some average ...                     |    give_birth.v.01     |    0.0     |    0.0     |    1.0     |
|     act      |             ... some average acting from the ...             |        act.v.01        |    0.0     |    0.0     |    1.0     |
|      be      |                   ... and it was a low ...                   |        be.v.01         |    0.25    |   0.125    |   0.625    |
|     see      |                    ... clearly can see .                     |        see.v.05        |   0.125    |    0.0     |   0.875    |
|      be      |                  review is long overdue ...                  |        be.v.01         |    0.25    |   0.125    |   0.625    |
|   consider   |               ... since i consider a tale ...                |        see.v.05        |   0.125    |    0.0     |   0.875    |
|      be      |               ... sisters to be the single ...               |        be.v.01         |    0.25    |   0.125    |   0.625    |
|     make     |                     ... film ever made .                     |       make.v.02        |    0.0     |    0.0     |    1.0     |
|     put      |                       put this gem ...                       |        put.v.01        |    0.0     |    0.0     |    1.0     |
|     act      |      ... cinematography , acting , post-production ...       |        act.v.01        |    0.0     |    0.0     |    1.0     |
|     edit     |        ... post-production , editing , directing ...         |       edit.v.01        |    0.0     |    0.0     |    1.0     |
|    direct    |               ... editing , directing , or ...               |      target.v.01       |    0.0     |    0.0     |    1.0     |
|      be      |               ... this film is easily the ...                |        be.v.01         |    0.25    |   0.125    |   0.625    |
|  construct   |           ... most tightly constructed in the ...            |     construct.v.01     |    0.0     |    0.0     |    1.0     |
|    think     |                     can think of no ...                      |       think.v.02       |   0.125    |    0.0     |   0.875    |
|    occur     |         ... vitally important occurs every other ...         |      happen.v.01       |    0.0     |    0.0     |    1.0     |
|      be      |                ... this film is enough to ...                |        be.v.01         |    0.25    |   0.125    |   0.625    |
|     fill     |                ... to easily fill a dozen ...                |       meet.v.04        |   0.125    |    0.0     |   0.875    |
|     ask      |             ... right mind ask for anything ...              |    necessitate.v.01    |    0.25    |    0.25    |    0.5     |
|      do      |               ... this film does require a ...               |      perform.v.01      |    0.0     |    0.0     |    1.0     |
|   require    |              ... film does require a rather ...              |    necessitate.v.01    |    0.25    |    0.25    |    0.5     |
|     fit      |              ... the pieces fit together to ...              |       equip.v.01       |    0.0     |    0.0     |    1.0     |
|    create    |            ... together to create a beautiful ...            |       make.v.03        |    0.0     |    0.0     |    1.0     |
|     pull     |           ... film certainly pulls no punches ...            |      attract.v.01      |    0.0     |    0.0     |    1.0     |
|      be      |                       is far from ...                        |        be.v.01         |    0.25    |   0.125    |   0.625    |
|      be      |                      is the number ...                       |        be.v.01         |    0.25    |   0.125    |   0.625    |
|   deserve    |                   deserves strong love ...                   |      deserve.v.01      |    0.75    |   0.125    |   0.125    |
|      be      |                       is an insane ...                       |        be.v.01         |    0.25    |   0.125    |   0.625    |
|      be      |                    are massive levels ...                    |        be.v.01         |    0.25    |   0.125    |   0.625    |
|    waste     |                        your money ...                        |       waste.v.01       |   0.125    |    0.0     |   0.875    |
|      be      |                       is the kind ...                        |        be.v.01         |    0.25    |   0.125    |   0.625    |
|      be      |            ... money that is wasted properly ...             |        be.v.01         |    0.25    |   0.125    |   0.625    |
|    waste     |                ... that is wasted properly .                 |       waste.v.01       |   0.125    |    0.0     |   0.875    |
|      be      |              ... the graphics were good at ...               |        be.v.01         |    0.25    |   0.125    |   0.625    |
|      be      |                   the graphics are crap .                    |        be.v.01         |    0.25    |   0.125    |   0.625    |
|     say      |                    they say in canada ...                    |       state.v.01       |    0.0     |    0.0     |    1.0     |
|      be      |                  ... , this is the fun ...                   |        be.v.01         |    0.25    |   0.125    |   0.625    |
|     buy      |                           it , ...                           |        buy.v.01        |    0.0     |    0.0     |    1.0     |
|     play     |                      it , play it , ...                      |        act.v.03        |    0.0     |    0.0     |    1.0     |
|    enjoy     |                   ... it , enjoy it , ...                    |       love.v.02        |    1.0     |    0.0     |    0.0     |
|     love     |                      ... it , love it .                      |       love.v.02        |    1.0     |    0.0     |    0.0     |
|      be      |                       was a flick ...                        |        be.v.01         |    0.25    |   0.125    |   0.625    |
|     doom     |               ... a flick doomed from its ...                |     sentence.v.01      |    0.0     |    0.0     |    1.0     |
|      be      |                   ... of it was lame - ...                   |        be.v.01         |    0.25    |   0.125    |   0.625    |
|     take     |                 ... lame - take a minor ...                  |    necessitate.v.01    |    0.25    |    0.25    |    0.5     |
|     make     |                ... , and make a complete ...                 |       make.v.02        |    0.0     |    0.0     |    1.0     |
|    change    |          ... non-sequel while changing its tone ...          |      change.v.01       |    0.0     |    0.0     |    1.0     |
|   interest   |                  ... least bit interested .                  |      concern.v.02      |   0.375    |    0.0     |   0.625    |
|      do      |                     only did it only ...                     |      perform.v.01      |    0.0     |    0.0     |    1.0     |
|   confirm    |               ... it only confirm that the ...               |      confirm.v.01      |    0.0     |    0.0     |    1.0     |
|      be      |              ... film would be unfunny and ...               |        be.v.01         |    0.25    |   0.125    |   0.625    |
|    manage    |               ... it also managed to give ...                |      manage.v.02       |    0.0     |    0.0     |    1.0     |
|     give     |               ... managed to give away the ...               |       give.v.18        |   0.125    |    0.0     |   0.875    |
|  exaggerate  |             ... i'm not exaggerating - every ...             |      overdo.v.01       |   0.125    |   0.125    |    0.75    |
|      be      |                ... every joke is told in ...                 |        be.v.01         |    0.25    |   0.125    |   0.625    |
|     tell     |                 ... joke is told in the ...                  |       state.v.01       |    0.0     |    0.0     |    1.0     |
|     save     |                ... carrell can't save this .                 |      deliver.v.08      |    0.0     |    0.25    |    0.75    |
|     fare     |             co-stars don't fare much better ...              |        do.v.04         |    0.0     |    0.0     |    1.0     |
|    waste     |                   ... helms just wasted .                    |       waste.v.01       |   0.125    |    0.0     |   0.875    |
