+-------------+-------------------------------------------------------+------------------------+------------+------------+------------+
|     Verb    |                        context                        |         synset         | Polarity + | Polarity - | Polarity = |
+-------------+-------------------------------------------------------+------------------------+------------+------------+------------+
|      be     |                  there is no way ...                  |        be.v.01         |    0.25    |   0.125    |   0.625    |
|     plug    |                ... me to plug it in ...               |       plug.v.04        |    0.0     |    0.0     |    1.0     |
|      go     |                ... unless i go by a ...               |      travel.v.01       |    0.0     |    0.0     |    1.0     |
|     tie     |                     to charger ...                    |      connect.v.01      |    0.0     |    0.0     |    1.0     |
|     last    |      ... for conversations lasting more than ...      |      survive.v.01      |    0.0     |    0.0     |    1.0     |
|      be     |                     mic is great .                    |        be.v.01         |    0.25    |   0.125    |   0.625    |
|     have    |                   have to jiggle ...                  |    give_birth.v.01     |    0.0     |    0.0     |    1.0     |
|    jiggle   |              have to jiggle the plug ...              |      jiggle.v.01       |    0.0     |    0.0     |    1.0     |
|     get     |               ... plug to get it to ...               |       make.v.02        |    0.0     |    0.0     |    1.0     |
|     line    |              ... it to line up right ...              |       trace.v.02       |    0.0     |    0.0     |    1.0     |
|     get     |           ... right to get decent volume ...          |       make.v.02        |    0.0     |    0.0     |    1.0     |
|     have    |               you have several dozen ...              |    give_birth.v.01     |    0.0     |    0.0     |    1.0     |
|   imagine   |             ... , then imagine the fun ...            |      imagine.v.01      |    0.0     |    0.5     |    0.5     |
|     send    |             ... fun of sending each of ...            |        air.v.03        |    0.0     |    0.0     |    1.0     |
|      be     |                 you are razr owner ...                |        be.v.01         |    0.25    |   0.125    |   0.625    |
|     have    |                ... you must have this !               |    give_birth.v.01     |    0.0     |    0.0     |    1.0     |
|     say     |                     to say , i ...                    |       state.v.01       |    0.0     |    0.0     |    1.0     |
|    waste    |              ... , i wasted my money ...              |       waste.v.01       |   0.125    |    0.0     |   0.875    |
|      be     |              ... sound quality is great .             |        be.v.01         |    0.25    |   0.125    |   0.625    |
|      be     |                 was very impressed ...                |        be.v.01         |    0.25    |   0.125    |   0.625    |
|   impress   |           was very impressed when going ...           |      affect.v.05       |   0.125    |   0.125    |    0.75    |
|      go     |         ... impressed when going from the ...         |      travel.v.01       |    0.0     |    0.0     |    1.0     |
