+-------------+------------------------------------------------------------------+---------------------+------------+------------+------------+
|     Verb    |                             context                              |        synset       | Polarity + | Polarity - | Polarity = |
+-------------+------------------------------------------------------------------+---------------------+------------+------------+------------+
|     love    |                     ... loved this place ...                     |      love.v.02      |    1.0     |    0.0     |    0.0     |
|      be     |                         is not good ...                          |       be.v.01       |    0.25    |   0.125    |   0.625    |
|      be     |                ... the texture was just nasty ...                |       be.v.01       |    0.25    |   0.125    |   0.625    |
|     stop    |                          by during ...                           |       end.v.01      |    0.0     |    0.0     |    1.0     |
|     love    |                ... recommendation and loved it .                 |      love.v.02      |    1.0     |    0.0     |    0.0     |
|      be     |                  ... the menu was great and ...                  |       be.v.01       |    0.25    |   0.125    |   0.625    |
|      be     |                  ... and so were the prices ...                  |       be.v.01       |    0.25    |   0.125    |   0.625    |
|      be     |                      i am getting angry ...                      |       be.v.01       |    0.25    |   0.125    |   0.625    |
|     get     |                    i am getting angry and ...                    |      make.v.02      |    0.0     |    0.0     |    1.0     |
|     want    |                    ... and i want my damn ...                    |      want.v.02      |   0.125    |   0.125    |    0.75    |
|      be     |                  potatoes were like rubber ...                   |       be.v.01       |    0.25    |   0.125    |   0.625    |
|     tell    |                 ... you could tell they had ...                  |      state.v.01     |    0.0     |    0.0     |    1.0     |
|     have    |                 ... tell they had been made ...                  |   give_birth.v.01   |    0.0     |    0.0     |    1.0     |
|      be     |                  ... they had been made up ...                   |       be.v.01       |    0.25    |   0.125    |   0.625    |
|     make    |                  ... had been made up ahead ...                  |      make.v.02      |    0.0     |    0.0     |    1.0     |
|      be     |                 ... of time being kept under ...                 |       be.v.01       |    0.25    |   0.125    |   0.625    |
|     keep    |                 ... time being kept under a ...                  |      keep.v.01      |    0.0     |    0.0     |    1.0     |
|      be     |                     fries were great too ...                     |       be.v.01       |    0.25    |   0.125    |   0.625    |
|      be     |                       was very prompt ...                        |       be.v.01       |    0.25    |   0.125    |   0.625    |
|    prompt   |                        was very prompt .                         |     prompt.v.02     |    0.0     |    0.0     |    1.0     |
|      go     |                          not go back .                           |     travel.v.01     |    0.0     |    0.0     |    1.0     |
|     have    |                     cashier had no care ...                      |   give_birth.v.01   |    0.0     |    0.0     |    1.0     |
|     have    |                    ... what i had to say ...                     |   give_birth.v.01   |    0.0     |    0.0     |    1.0     |
|     say     |                   ... had to say it still ...                    |      state.v.01     |    0.0     |    0.0     |    1.0     |
|     end     |                 ... it still ended up being ...                  |       end.v.01      |    0.0     |    0.0     |    1.0     |
|      be     |             ... ended up being wayyy overpriced ...              |       be.v.01       |    0.25    |   0.125    |   0.625    |
|     try     |                        tried the cape ...                        |       try.v.01      |    0.0     |    0.0     |    1.0     |
|      be     |                    was disgusted because ...                     |       be.v.01       |    0.25    |   0.125    |   0.625    |
|   disgust   |                   was disgusted because i ...                    |     disgust.v.01    |    0.0     |   0.125    |   0.875    |
|      be     |                ... because i was pretty sure ...                 |       be.v.01       |    0.25    |   0.125    |   0.625    |
|      be     |                 ... sure that was human hair ...                 |       be.v.01       |    0.25    |   0.125    |   0.625    |
|      be     |                     was shocked because ...                      |       be.v.01       |    0.25    |   0.125    |   0.625    |
|    shock    |                    was shocked because no ...                    |      shock.v.02     |   0.125    |   0.375    |    0.5     |
|   indicate  |               ... no signs indicate cash only ...                |    indicate.v.02    |    0.0     |    0.0     |    1.0     |
|  recommend  |                          recommended .                           |    recommend.v.01   |    0.0     |   0.125    |   0.875    |
|      be     |                         was a little ...                         |       be.v.01       |    0.25    |   0.125    |   0.625    |
|      be     |                      place is not worth ...                      |       be.v.01       |    0.25    |   0.125    |   0.625    |
|     let     |                  ... time , let alone vegas ...                  |       let.v.01      |    0.0     |    0.0     |    1.0     |
|      do     |                           not like ...                           |     perform.v.01    |    0.0     |    0.0     |    1.0     |
|     like    |                       not like at all ...                        |      wish.v.02      |   0.125    |    0.0     |   0.875    |
|    amaze    |                         food , amazing .                         |     perplex.v.01    |   0.125    |    0.25    |   0.625    |
|      be     |                         is also cute ...                         |       be.v.01       |    0.25    |   0.125    |   0.625    |
|     care    |                     could care less ... ...                      |     manage.v.02     |    0.0     |    0.0     |    1.0     |
|      be     |              ... the interior is just beautiful ...              |       be.v.01       |    0.25    |   0.125    |   0.625    |
|   perform   |                         they performed .                         |     perform.v.01    |    0.0     |    0.0     |    1.0     |
|      be     |                  ... this stuff is so good ...                   |       be.v.01       |    0.25    |   0.125    |   0.625    |
|    bring    |                  they never brought a salad ...                  |      lend.v.01      |    0.5     |    0.25    |    0.25    |
|     ask     |                     ... salad we asked for .                     |   necessitate.v.01  |    0.25    |    0.25    |    0.5     |
